x,y
58,47
57,47
56,47
55,47
54,47
53,47
52,47
51,47
51,46
51,45
50,45
49,45
48,45
48,44
47,44
47,43
46,43
46,42
46,41
46,40
46,39
45,39
44,39
43,39
43,38
43,37
44,37
44,38
44,40
45,40
45,41
45,42
42,38
42,37
42,36
42,35
42,34
41,34
41,33
40,33
40,32
40,31
40,30
40,29
40,28
41,28
41,27
41,26
41,25
41,24
40,24
40,23
40,22
40,21
40,20
40,19
41,19
41,18
41,17
42,17
42,18
43,18
44,18
44,17
44,16
43,16
43,15
44,15
44,14
45,14
45,13
46,13
46,12
46,11
46,10
46,9
46,8
46,7
47,7
48,7
48,6
49,6
50,6
51,6
52,6
53,6
53,5
54,5
54,4
55,4
55,3
56,3
56,2
57,2
57,1
58,1
58,2
57,3
