x,y
58,48
57,48
56,48
55,48
55,47
54,47
54,46
53,46
52,46
52,45
51,45
50,45
49,45
48,45
47,45
47,44
46,44
46,43
45,43
44,43
43,43
42,43
41,43
40,43
39,43
39,42
39,41
38,41
38,40
38,39
39,39
39,38
39,37
38,37
38,36
38,35
37,35
37,34
38,34
39,34
39,33
39,32
40,32
40,31
40,30
39,30
39,29
40,29
40,28
41,28
41,27
41,26
41,25
41,24
40,24
40,23
40,22
40,21
40,20
40,19
41,19
41,18
41,17
42,17
42,18
43,18
44,18
44,17
44,16
43,16
43,15
44,15
44,14
45,14
45,13
46,13
46,12
46,11
46,10
47,10
47,9
47,8
47,7
47,6
47,5
48,5
49,5
49,4
50,4
51,4
52,4
53,4
54,4
55,4
55,3
56,3
56,2
57,2
57,1
58,1
58,2
57,3
