step,x,y
0,60,50
1,60,49
2,59,49
3,59,48
4,58,48
5,58,47
6,57,47
7,56,47
8,55,47
9,54,47
10,53,47
11,52,47
12,51,47
13,50,47
14,49,47
15,49,46
16,48,46
17,47,46
18,46,46
19,45,46
20,44,46
21,43,46
22,42,46
23,41,46
24,41,45
25,40,45
26,40,44
27,40,43
28,39,43
29,39,42
30,39,41
31,38,41
32,38,40
33,38,39
34,38,38
35,38,37
36,37,37
37,37,36
38,37,35
39,37,34
40,38,34
41,38,33
42,39,33
43,40,33
44,40,32
45,40,31
46,40,30
47,40,29
48,41,29
49,41,28
50,41,27
51,41,26
52,41,25
53,41,24
54,41,23
55,40,23
56,40,22
57,40,21
58,40,20
59,40,19
60,40,18
61,40,17
62,40,16
63,40,15
64,40,14
65,40,13
66,40,12
67,40,11
68,40,10
69,40,9
70,40,8
71,40,7
72,41,7
73,42,7
74,43,7
75,44,7
76,45,7
77,46,7
78,47,7
79,48,7
80,48,6
81,49,6
82,50,6
83,51,6
84,52,6
85,53,6
86,54,6
87,55,6
88,56,6
89,57,6
90,57,5
91,58,5
92,58,4
93,59,4
94,59,3
95,60,3
96,60,2
