date,AA,AAPL,AMGN,AMZN,AXP,BA,BAC,CAT,CRM,CSCO,CVX,DD,DIS,DOW,GE,GS,HD,HON,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PFE,PG,RTX,SHW,T,TRV,UNH,V,VZ,WBA,WMT,XOM
2010-01-04,,214.21,57.65,133.66,40.91,56.21,15.67,58.55,74.8,24.69,79.04,34.26,32.05,,15.49,173.53,28.68,,52.43,132.45,20.86,64.67,42.89,57.03,62.84,83.07,37.08,30.98,65.27,18.48,18.87,61.11,,61.64,28.56,49.79,31.54,87.96,31.095,,54.34,69.12
2010-01-05,,214.19,57.16,134.81,40.77,57.82,16.15,59.25,74.58,24.58,79.47,33.93,32.0,,15.53,175.84,28.87,,52.7,130.85,20.87,64.0,43.8,56.35,62.35,82.51,37.15,30.97,65.58,18.72,18.63,61.15,,60.18,28.42,48.69,31.43,87.18,31.155,,53.68,69.36
2010-01-06,,211.22,56.59,132.0,41.47,59.85,16.45,59.43,74.44,24.42,79.59,34.04,31.8,,15.46,174.31,28.75,,52.13,130.0,20.73,64.39,43.94,56.26,61.44,83.6,37.65,30.69,65.09,18.83,18.58,60.77,,59.4,27.58,47.92,31.76,86.18,29.825,,53.51,70.05
2010-01-07,,210.03,56.2,129.72,42.0,62.16,17.01,59.67,74.18,24.53,79.31,34.39,31.78,,16.26,178.06,29.18,,52.25,129.55,20.6,63.91,44.89,56.12,61.87,83.5,37.68,30.42,65.88,18.49,18.56,60.51,,59.98,27.29,48.73,32.91,86.88,29.65,,53.56,69.81
2010-01-08,,211.62,56.79,133.44,41.89,61.46,16.74,60.34,74.04,24.66,79.3,33.94,31.86,,16.64,174.47,29.0,,52.54,130.85,20.83,64.13,44.56,55.03,61.85,84.16,37.64,30.67,65.65,18.55,18.65,60.43,,60.38,27.06,48.56,32.62,86.96,29.665,,53.25,69.32
2010-01-11,,210.27,57.01,130.23,41.43,60.79,16.95,64.13,73.74,24.59,81.01,34.26,31.31,,16.8,171.32,28.18,,52.47,129.48,20.98,64.25,44.6,56.28,62.3,83.97,37.87,30.21,64.87,18.31,18.83,60.19,,59.68,26.97,48.57,32.92,86.66,29.79,,54.24,70.37
2010-01-12,,206.88,55.78,126.86,42.04,60.36,16.27,62.24,68.48,24.2,80.21,34.0,30.74,,16.77,167.47,27.95,,51.87,130.51,20.54,64.44,43.28,56.85,62.53,83.81,37.44,30.05,64.7,17.64,18.71,60.85,,59.38,26.9,48.79,31.94,86.24,29.815,,54.57,69.83
2010-01-13,,210.68,56.63,129.48,42.09,61.36,16.69,62.33,68.65,24.64,79.91,34.3,31.28,,16.88,169.09,28.16,,52.34,130.23,21.0,65.15,44.43,57.01,62.71,83.9,39.08,30.39,65.43,17.97,19.25,61.74,,60.19,26.69,48.96,32.48,87.09,29.78,,55.07,69.66
2010-01-14,,209.65,56.09,127.59,42.71,61.47,16.88,61.98,69.19,24.95,79.62,34.09,31.04,,16.73,168.5,28.31,,52.65,132.31,21.5,65.16,44.72,57.17,62.64,83.55,39.99,31.05,64.96,17.66,19.48,61.66,,60.55,26.21,49.26,33.29,87.49,29.17,,54.22,69.71
2010-01-15,,206.24,56.37,127.32,42.43,60.73,16.29,60.12,68.78,24.4,78.98,34.01,30.55,,16.43,165.4,28.51,,52.57,131.78,20.82,64.39,43.74,56.26,62.33,83.23,39.47,30.87,64.36,17.14,19.47,60.83,,59.19,25.81,48.76,33.77,86.3,28.575,,53.73,69.05
2010-01-19,,214.87,57.55,127.37,42.89,60.68,16.31,60.93,69.42,24.85,79.7,34.84,31.01,,16.54,166.6,28.89,,52.69,134.14,21.0,65.29,43.29,56.39,63.49,85.06,40.51,31.1,64.69,17.41,19.98,61.69,,59.35,26.2,49.4,34.94,87.7,29.18,,54.05,69.22
2010-01-20,,211.51,57.27,125.72,42.81,60.42,16.53,59.76,68.46,24.41,78.19,34.52,31.2,,16.49,167.82,28.67,,52.28,130.25,21.09,65.1,43.5,55.46,63.0,84.72,40.99,30.56,64.22,17.34,20.0,60.5,,58.73,25.8,48.89,34.6,87.32,28.695,,53.87,68.08
2010-01-21,,208.43,56.69,126.87,42.0,59.46,15.51,56.85,66.87,23.98,76.19,33.15,30.72,,16.05,162.72,28.56,,51.4,129.0,20.87,64.17,40.6,54.52,63.48,82.94,40.15,30.13,63.9,17.07,19.26,59.96,,58.76,25.71,48.94,33.32,84.91,28.62,,53.05,66.8
2010-01-22,,197.48,56.7,120.8,38.29,57.92,14.76,54.25,64.5,22.97,74.56,32.5,29.98,,16.12,152.27,27.7,,49.38,125.5,19.82,63.36,38.89,54.38,63.49,81.75,38.95,28.88,63.09,16.43,19.0,60.41,,58.01,25.39,48.4,33.18,82.52,28.35,,52.91,66.15
2010-01-25,,203.75,55.88,120.44,37.75,57.88,15.09,55.14,64.23,22.99,74.66,32.82,29.95,,16.42,155.73,27.62,,50.1,126.12,20.35,63.36,39.42,54.32,63.13,81.83,38.81,29.39,63.74,16.74,18.91,60.7,,59.07,25.6,48.95,33.01,82.02,28.665,,52.95,65.94
2010-01-26,,205.58,56.7,119.44,38.0,57.76,14.73,55.85,65.28,22.9,74.03,32.8,29.64,,16.35,151.01,27.67,,49.65,125.75,19.98,62.83,38.36,54.17,63.8,81.58,38.55,29.54,63.75,16.23,18.78,60.6,,62.91,25.28,50.26,32.52,81.26,28.19,,53.64,65.79
2010-01-27,,207.99,57.7,122.8,38.59,61.86,15.25,53.44,65.42,23.15,73.88,32.86,29.26,,16.35,151.54,27.83,,49.46,126.33,20.26,63.53,39.35,54.55,63.74,82.46,38.76,29.73,64.08,16.7,19.08,60.73,,63.68,25.71,50.8,33.19,83.83,27.91,,53.42,65.61
2010-01-28,,200.05,58.23,126.29,37.49,62.6,15.37,51.86,64.52,22.52,73.48,32.32,29.36,,16.17,153.26,27.43,,47.88,123.75,19.99,63.88,39.58,54.25,62.84,81.12,38.13,29.32,63.71,16.14,18.71,62.19,,63.67,25.62,50.5,33.54,82.97,27.405,,52.66,65.06
2010-01-29,,192.77,58.67,126.1,37.72,60.69,15.2,52.24,63.62,22.47,72.3,32.61,29.61,,16.12,148.94,28.03,,47.22,122.39,19.43,63.03,39.03,54.37,62.54,80.58,38.27,28.08,63.93,15.38,18.72,61.68,,63.19,25.38,50.85,33.0,82.02,27.49,,53.6,64.57
2010-02-01,,194.46,58.78,118.16,38.1,61.62,15.34,52.94,65.05,22.73,73.43,33.66,29.49,,16.22,152.96,28.36,,47.79,124.67,19.61,63.0,39.44,54.26,63.8,80.3,38.28,28.36,64.03,16.54,18.78,62.02,,64.44,25.31,50.55,33.05,83.34,27.67,,53.46,66.26
2010-02-02,,195.86,59.23,118.12,39.02,61.94,15.6,53.55,,23.02,74.45,33.63,29.98,,16.85,156.94,29.03,,48.59,125.53,19.91,63.99,40.55,55.05,64.03,80.43,39.54,28.46,63.93,,19.24,62.9,,,25.69,,34.05,84.01,27.78,,53.49,66.96
2010-02-03,,199.23,59.07,119.1,38.33,61.46,15.53,53.39,,23.07,73.21,33.49,30.75,,16.68,157.23,28.47,,48.73,125.66,19.68,63.63,40.29,54.87,65.21,81.5,38.72,28.63,64.0,,18.62,62.65,,,25.58,,33.32,83.52,27.275,,54.27,66.6
2010-02-04,,192.05,57.53,115.94,37.53,59.32,14.75,51.4,62.43,23.16,71.37,32.52,29.67,,16.04,150.68,27.93,,47.03,123.0,19.02,62.64,38.35,53.43,64.06,79.21,37.1,27.84,62.09,15.9,18.03,61.4,,63.85,25.03,49.73,32.46,83.05,26.75,,52.97,64.72
2010-02-05,,195.46,57.68,117.39,37.85,58.4,15.0,51.75,62.08,23.7,71.18,32.73,29.54,,15.79,154.16,27.98,,47.32,123.52,19.47,62.64,38.3,53.09,63.37,78.54,36.73,28.02,61.7,16.22,17.96,61.3,,63.9,25.24,50.28,32.54,82.56,26.855,,53.45,64.8
2010-02-08,,194.12,57.46,116.83,36.79,57.89,14.48,50.78,62.12,23.5,70.13,32.19,29.48,,15.6,151.1,28.59,,47.59,121.88,19.35,62.37,37.7,52.65,62.92,77.53,36.59,27.72,61.3,16.19,17.84,61.01,,63.2,24.98,49.05,32.41,83.05,26.51,,52.93,64.35
2010-02-09,,196.19,57.21,118.03,37.54,59.74,14.47,53.53,64.66,23.89,71.31,32.88,29.84,,15.6,152.49,28.87,,48.12,123.21,19.65,62.76,38.39,54.01,63.57,78.72,36.47,28.01,62.51,16.06,17.88,61.76,,63.77,25.26,49.57,33.0,83.27,26.865,,53.25,65.2
2010-02-10,,195.12,56.84,117.36,37.75,59.54,14.67,53.15,64.73,23.76,70.75,32.38,30.03,,15.69,153.63,28.65,,48.02,122.81,19.69,62.73,38.87,53.79,63.25,78.62,36.2,27.99,62.64,16.37,17.74,61.67,,62.98,25.12,49.69,32.71,83.64,26.975,,53.24,64.85
2010-02-11,,198.67,56.5,120.09,38.29,60.59,14.63,56.15,65.96,23.93,71.73,32.55,30.16,,15.77,154.05,28.99,,48.62,123.73,20.06,62.91,39.02,54.22,63.79,80.27,36.88,28.12,62.95,17.12,17.87,61.96,,63.73,25.19,50.2,33.12,85.14,27.135,,53.08,65.24
2010-02-12,,200.38,56.48,119.66,38.42,59.65,14.45,56.2,65.09,23.76,71.01,32.28,30.07,,15.55,153.93,29.0,,48.46,124.0,20.43,62.72,38.95,53.98,63.59,79.18,36.92,27.93,62.49,17.35,17.8,61.76,,63.95,25.07,50.45,32.18,84.78,27.03,,52.9,64.8
2010-02-16,,203.4,56.99,117.53,39.62,61.26,15.16,57.12,66.2,24.0,72.99,32.74,30.47,,16.04,157.4,29.44,,49.44,125.23,20.72,63.61,40.07,54.82,64.01,80.47,37.66,28.35,63.65,17.67,17.72,62.83,,64.54,25.32,51.61,31.63,85.88,27.265,,53.56,66.28
2010-02-17,,202.55,57.2,116.31,39.05,61.82,15.66,57.5,66.78,24.07,72.84,33.13,30.86,,16.15,157.26,30.02,,50.12,126.33,20.66,63.98,40.04,55.33,64.26,80.14,37.34,28.59,64.48,17.84,17.67,62.85,,65.04,25.4,51.75,32.55,86.42,27.23,,54.06,65.76
2010-02-18,,202.93,57.27,118.08,39.15,62.89,15.88,57.81,68.45,24.28,73.62,33.62,31.02,,16.24,155.73,30.3,,50.81,127.81,20.84,64.53,40.41,55.91,64.48,81.11,37.29,28.97,64.44,16.67,17.73,63.39,,65.23,25.24,52.74,32.69,86.96,27.24,,53.47,65.96
2010-02-19,,201.67,57.38,117.52,39.06,63.59,15.88,58.25,68.92,24.36,74.05,34.03,31.23,,16.17,156.18,30.15,,50.79,127.19,20.82,63.81,40.03,55.72,64.74,81.52,37.49,28.77,64.35,16.58,17.99,63.45,,65.37,25.1,52.88,31.94,86.81,27.115,,53.49,65.87
2010-02-22,,200.42,57.1,118.01,38.93,63.97,16.21,58.03,69.04,24.3,72.96,33.98,31.12,,16.25,156.71,30.32,,50.56,126.85,20.87,63.49,40.85,55.38,64.77,80.68,37.12,28.73,64.31,16.61,17.95,63.42,,64.81,25.02,53.04,33.08,86.91,27.1,,53.83,65.4
2010-02-23,,197.06,56.38,117.24,37.93,62.77,15.94,56.66,68.24,24.05,72.04,33.68,30.92,,15.95,156.7,30.75,,50.12,126.46,20.39,63.31,39.88,54.83,64.87,79.71,36.51,28.33,64.13,16.21,17.67,63.21,,64.13,24.83,52.36,32.81,86.12,26.855,,53.62,64.94
