date,SPY,QQQ,IWM,TLT,GLD,XLF,XLK,XLE,XLV,XLU,EFA,EEM,VNQ,DIA,HYG,LQD,USO,SLV,XBI
2016-02-02,190.16,102.15,100.28,129.02,108.09,21.03,40.65,55.33,65.61,46.05,54.13,29.3,76.42,161.41,77.87,113.66,8.57,13.62,49.13
2016-02-03,191.3,101.66,100.41,127.95,109.25,21.05,40.6,57.3,66.04,46.62,54.58,30.13,76.93,163.2,78.25,113.38,9.34,13.95,49.37
2016-02-04,191.6,101.65,100.8,128.57,110.57,21.23,40.64,57.27,65.68,46.42,54.65,30.36,76.97,164.14,78.0,113.43,9.12,14.17,50.38
2016-02-05,187.95,98.12,98.04,128.72,112.32,20.95,39.5,55.94,64.4,46.57,53.81,30.01,75.51,161.94,77.41,113.41,8.91,14.34,48.49
2016-02-08,185.42,96.62,96.43,131.49,113.83,20.42,38.93,55.65,63.52,46.41,52.81,29.6,73.35,160.35,76.5,114.0,8.64,14.59,45.81
2016-02-09,185.43,96.32,95.78,131.63,113.58,20.39,38.75,54.31,63.99,46.57,52.2,29.19,72.0,160.24,76.21,113.61,8.18,14.51,45.88
2016-02-10,185.27,96.69,95.83,132.79,114.46,20.28,38.83,54.09,64.56,46.52,52.14,29.31,72.5,159.39,76.1,113.75,7.96,14.55,46.05
2016-02-11,182.86,96.55,94.79,133.72,119.06,19.66,38.73,53.86,63.52,45.7,51.38,28.82,71.47,156.8,75.59,114.13,7.99,14.95,45.73
2016-02-12,186.63,98.02,96.59,131.5,118.36,20.49,39.27,55.28,64.37,45.56,52.28,29.32,72.29,159.98,76.72,113.49,8.33,14.99,47.05
2016-02-16,189.78,100.23,98.88,130.11,114.77,20.82,39.97,55.83,65.58,45.85,53.34,29.97,73.62,162.2,76.79,112.95,8.31,14.51,48.97
2016-02-17,192.88,102.5,100.43,129.31,115.48,21.1,40.79,57.66,66.41,45.76,54.26,30.56,74.25,164.93,77.42,112.92,8.78,14.54,50.95
2016-02-18,192.09,101.33,99.95,130.9,118.29,20.98,40.63,56.94,66.0,46.51,53.98,30.38,75.0,164.52,77.49,113.84,8.66,14.76,49.17
2016-02-19,192.0,101.63,100.45,131.0,117.58,20.98,40.66,56.81,65.93,46.2,53.92,30.24,75.43,163.7,77.64,113.76,8.55,14.64,50.12
2016-02-22,194.78,103.28,101.57,130.94,115.49,21.31,41.2,58.26,66.87,46.74,54.53,30.99,76.15,165.94,78.31,113.99,8.91,14.43,50.66
2016-02-23,192.32,101.58,100.64,131.47,117.22,20.93,40.55,56.27,66.37,46.78,53.64,30.33,75.95,164.15,78.15,114.22,8.48,14.54,48.24
2016-02-24,193.2,102.55,101.61,131.21,117.61,20.88,40.86,56.84,66.59,47.0,53.45,30.26,75.86,164.67,78.28,114.33,8.59,14.52,48.76
2016-02-25,195.54,103.56,102.54,131.68,117.92,21.17,41.37,56.89,67.42,47.48,54.09,30.36,77.41,166.84,78.7,114.97,8.8,14.41,48.55
2016-02-26,195.09,103.43,103.19,130.41,117.11,21.32,41.26,57.23,67.3,46.17,53.95,30.06,77.01,166.28,79.23,114.93,8.78,14.02,49.4
2016-02-29,193.35,102.5,102.73,130.98,118.64,21.09,40.97,56.58,66.22,46.3,53.63,30.32,76.71,164.96,80.08,115.01,9.0,14.2,47.9
2016-03-01,198.11,105.79,104.94,128.43,117.77,21.8,42.19,58.06,67.65,46.07,55.03,31.4,78.87,168.52,80.92,114.05,9.15,14.17,50.21
2016-03-02,199.0,105.83,106.02,128.96,118.68,22.04,42.31,59.48,67.76,46.31,55.41,31.82,79.44,168.89,80.37,114.28,9.3,14.25,52.3
2016-03-03,199.77,105.63,107.13,129.43,120.73,22.19,42.31,60.38,67.57,46.59,55.95,32.18,79.86,169.35,80.64,114.82,9.25,14.5,51.72
2016-03-04,200.43,105.67,107.72,128.6,120.54,22.28,42.42,60.96,67.41,47.11,56.36,32.82,79.87,170.02,80.87,114.8,9.65,14.76,51.94
2016-03-07,200.59,105.02,108.89,128.56,121.14,22.27,42.16,62.39,67.95,47.37,56.29,32.77,80.08,170.62,80.97,114.93,10.11,14.9,53.8
2016-03-08,198.4,104.15,106.26,129.98,120.58,21.91,41.9,59.77,67.12,47.84,55.74,32.21,79.26,169.62,80.4,115.54,9.65,14.62,50.99
2016-03-09,199.38,104.82,106.8,129.19,119.58,21.94,42.26,60.74,67.24,48.06,55.95,32.41,79.7,170.02,80.6,115.41,10.15,14.53,50.52
2016-03-10,199.54,104.66,105.93,128.66,121.5,21.92,42.22,60.79,67.28,48.09,55.86,32.46,79.41,170.06,81.16,115.89,10.04,14.82,49.65
2016-03-11,202.76,106.49,108.2,127.36,119.41,22.49,42.87,62.36,68.59,48.15,57.32,33.14,81.19,172.23,82.14,116.22,10.19,14.72,51.31
2016-03-14,202.5,106.67,107.92,127.76,117.87,22.42,42.92,61.95,68.3,48.21,57.2,32.94,81.2,172.41,81.91,116.56,9.88,14.58,51.9
2016-03-15,202.17,106.63,106.24,127.88,117.96,22.41,43.08,61.83,67.24,48.3,56.66,32.47,81.24,172.64,81.15,116.52,9.7,14.54,48.9
2016-03-16,203.34,107.58,106.99,128.26,120.59,22.36,43.58,62.9,67.08,49.04,57.16,33.12,82.22,173.47,81.69,117.08,10.18,14.87,48.31
2016-03-17,204.63,107.52,108.63,128.79,120.13,22.63,43.74,63.76,66.3,49.31,57.6,33.85,83.38,174.94,82.21,117.44,10.55,15.16,48.46
2016-03-18,204.38,107.37,109.61,129.06,119.8,22.73,43.59,63.49,66.84,48.63,57.5,34.02,83.02,175.69,82.4,117.71,10.48,15.03,49.65
2016-03-21,204.67,107.79,109.35,128.07,118.96,22.69,43.74,63.27,67.23,48.58,57.41,34.1,81.36,176.01,82.31,117.57,10.59,15.06,50.83
2016-03-22,204.56,108.12,109.22,128.04,119.31,22.62,43.75,62.92,67.9,48.42,57.31,34.02,81.36,175.7,82.09,117.35,10.54,15.12,52.5
2016-03-23,203.21,107.23,106.88,129.49,116.61,22.45,43.5,61.54,67.42,48.78,56.73,33.44,80.92,174.81,81.71,117.94,10.11,14.51,49.87
2016-03-24,203.12,107.26,107.2,129.54,116.33,22.31,43.62,61.84,67.39,48.91,56.35,33.36,80.95,174.94,81.35,117.89,10.06,14.43,50.05
2016-03-28,203.24,107.11,107.33,129.71,116.6,22.38,43.51,61.51,67.2,48.73,56.69,33.47,81.68,175.12,80.98,117.96,10.01,14.46,49.4
2016-03-29,205.12,108.83,110.31,131.07,118.76,22.42,44.19,61.8,67.98,49.45,57.3,33.93,83.45,176.07,81.29,118.49,9.8,14.6,50.58
2016-03-30,206.02,109.36,110.32,129.69,117.1,22.55,44.45,61.91,67.99,49.33,57.73,34.28,83.29,176.89,81.58,118.35,9.73,14.49,50.17
2016-03-31,205.52,109.2,110.63,130.61,117.64,22.5,44.36,61.89,67.78,49.62,57.16,34.25,83.8,176.64,81.69,118.82,9.7,14.68,51.66
2016-04-01,206.92,110.36,111.12,130.68,116.93,22.7,44.7,61.06,68.55,49.81,56.55,34.15,83.69,177.72,81.37,118.87,9.33,14.34,53.16
2016-04-04,206.25,109.94,110.19,130.76,116.15,22.59,44.53,60.6,69.37,49.6,56.43,33.74,83.57,177.12,81.17,118.88,9.08,14.2,53.87
2016-04-05,204.19,108.88,108.94,132.19,117.66,22.27,44.1,60.2,68.47,48.67,55.32,33.08,83.02,175.82,80.87,119.26,9.13,14.42,53.81
2016-04-06,206.42,110.67,110.17,131.23,116.94,22.39,44.53,61.5,70.31,48.61,56.22,33.48,83.22,177.04,81.55,119.16,9.6,14.34,57.59
2016-04-07,203.95,109.08,108.68,132.85,118.61,21.97,43.89,61.14,69.54,48.59,55.4,32.81,82.7,175.29,81.15,119.48,9.51,14.48,56.81
2016-04-08,204.5,109.0,109.11,132.01,118.43,22.05,43.89,62.37,69.35,48.85,56.46,33.38,83.16,175.66,81.52,119.21,10.03,14.62,55.84
2016-04-11,204.02,108.6,108.77,131.84,120.03,22.14,43.77,62.11,68.82,48.64,56.49,33.81,82.99,175.44,81.63,119.2,10.28,15.14,54.46
2016-04-12,205.92,109.51,109.94,130.93,120.05,22.42,44.07,63.96,69.38,48.98,57.33,34.33,83.59,177.09,82.11,118.73,10.64,15.41,54.99
