date,AAL,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AKAM,ALGN,ALTR,ALXN,AMAT,AMD,AMGN,AMZN,ANSS,APOL,APP,ARM,ASML,ATVI,AVGO,AXON,AZN,BATRA,BATRK,BBBY,BIDU,BIIB,BKNG,BKR,BMRN,CA,CCEP,CDNS,CDW,CEG,CELG,CERN,CHKP,CHRW,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,CTXS,DASH,DDOG,DELL,DISCA,DISCK,DISH,DLTR,DOCU,DXCM,EA,EBAY,ENDP,ENPH,EQIX,ESRX,EXC,EXPD,EXPE,FANG,FAST,FFIV,FISV,FLEX,FLIR,FOSL,FOX,FOXA,FSLR,FTNT,GEHC,GFS,GILD,GOLD,GOOG,GOOGL,GRMN,HAS,HOLX,HON,HSIC,IDXX,ILMN,INCY,INFY,INTC,INTU,ISRG,JBHT,JD,KDP,KHC,KLAC,LBTYA,LBTYK,LCID,LIFE,LILA,LILAK,LIN,LMCA,LMCK,LOGI,LRCX,LULU,MAR,MAT,MCHP,MDB,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MSTR,MTCH,MU,MXIM,MYL,NCLH,NFLX,NIHD,NLOK,NTAP,NTES,NUAN,NVDA,NWSA,NXPI,ODFL,OKTA,ON,ORCL,ORLY,PANW,PAYX,PCAR,PDCO,PDD,PEP,PLTR,PRGO,PTON,PYPL,QCOM,QGEN,QRTEA,REGN,RIVN,ROP,ROST,SBAC,SBUX,SGEN,SHLD,SHPG,SIRI,SMCI,SNPS,SPLK,SPLS,SRCL,STRZA,STX,SWKS,TCOM,TEAM,TEVA,TMUS,TRIP,TSCO,TSLA,TTD,TTWO,TXN,UAL,ULTA,URBN,VIAB,VIP,VOD,VRSK,VRSN,VRTX,WBA,WBD,WDAY,WDC,WFM,WLTW,WTW,WYNN,XEL,XLNX,XRAY,ZM,ZS
2010-01-04,,214.21,,37.01,,,25.64,,25.89,18.45,,48.25,14.27,,57.65,133.66,44.45,61.65,,,34.62,11.28,,,,,,39.03,409.9,53.74,,,18.89,22.99,,6.12,,,55.74,84.26,34.07,59.28,,16.99,59.36,36.37,,24.69,42.22,,26.32,46.69,42.84,,,,15.835,26.79,21.18,48.19,,8.51,,23.89,21.14,,109.24,88.6,,35.02,25.79,,42.04,53.82,49.43,7.36,32.64,33.69,14.4,,135.26,2.25,,,43.22,,,626.48,,,14.94,,53.42,53.96,30.5,9.47,,20.86,30.8,308.67,33.06,,,,36.85,,,,,,,,,,17.79,39.79,30.93,,,29.18,,,50.4,,,,20.96,30.98,95.71,,,20.49,18.72,,53.59,,18.4,34.18,41.66,16.0,18.48,,,29.25,,,,38.49,,30.76,36.56,28.78,,61.22,,,,,47.0,,,24.56,,,42.75,35.09,22.99,10.52,76.0452,59.66,0.64,11.47,22.45,,24.5,55.13,,,14.79,72.5,,,,,53.35,,,10.35,,,18.7,34.81,,,,,24.71,44.12,,,,,27.85,,,64.01,,25.38,35.3,,
2010-01-05,,214.19,,37.7,,,25.25,,26.66,18.01,,47.56,14.2,,57.16,134.81,43.58,61.75,,,34.95,11.3,,,,,,38.67,406.1,53.3,,,19.15,22.91,,6.06,,,55.09,89.26,33.72,57.98,,16.76,59.16,36.4,,24.58,42.4,,26.27,47.39,42.87,,,,16.46,27.97,21.05,47.6,,8.69,,23.62,20.88,,108.85,86.92,,35.29,25.89,,42.87,52.47,49.64,7.31,32.72,34.03,14.335,,137.76,2.3,,,43.1,,,623.8,,,14.95,,53.3,54.13,30.3,10.26,,20.87,30.84,307.39,33.15,,,,36.51,,,,,,,,,,17.68,39.57,31.83,,,28.72,,,51.88,,,,21.43,30.97,97.84,,,20.21,18.52,,51.51,,18.3,33.59,41.85,16.25,18.72,,,29.92,,,,38.56,,30.77,37.21,28.77,,61.95,,,,,48.06,,,25.11,,,43.45,35.97,23.61,10.55,79.4881,58.55,0.68,11.24,22.24,,24.52,54.57,,,15.04,76.68,,,,,52.86,,,10.43,,,18.75,35.54,,,,,25.1,42.52,,,,,27.62,,,67.85,,25.06,34.88,,
2010-01-06,,211.22,,37.59,,,25.27,,26.47,17.49,,47.68,14.12,,56.59,132.0,43.46,63.7,,,35.22,11.25,,,,,,39.23,413.09,53.33,,,19.19,22.76,,6.13,,,56.39,90.2,33.92,57.27,,16.6,59.91,36.21,,24.42,42.49,,26.4,47.26,42.7,,,,16.705,28.25,20.7,50.32,,8.93,,23.46,20.89,,109.6,86.66,,34.51,24.61,,45.7,52.76,49.43,7.31,32.8,34.1,14.55,,139.76,2.425,,,44.68,,,607.27,,,14.99,,53.47,54.24,32.26,10.98,,20.73,30.38,311.98,32.95,,,,36.37,,,,,,,,,,17.73,39.49,32.43,,,28.48,,,51.22,,,,21.63,30.69,96.54,,,19.99,18.34,,53.07,,18.36,33.32,41.9,16.43,18.83,,,30.45,,,,38.35,,31.05,37.72,28.63,,61.27,,,,,47.47,,,24.64,,,44.0,35.93,23.4,10.82,81.0121,58.83,0.68,11.35,22.22,,24.58,54.63,,,14.88,74.88,,,,,52.51,,,10.38,,,19.05,35.23,,,,,24.67,42.02,,,,,27.94,,,67.05,,24.89,35.12,,
2010-01-07,,210.03,,36.87,,,25.51,,26.39,17.4,,47.86,14.03,,56.2,129.72,43.43,63.94,,,34.27,11.0,,,,,,41.94,405.1,53.04,,,20.11,22.87,,6.25,,,55.89,90.72,33.86,56.77,,16.98,59.7,36.0,,24.53,42.44,,26.61,45.63,42.66,,,,16.695,28.51,20.79,49.96,,9.25,,23.24,20.62,,107.24,88.66,,34.24,24.45,,46.49,52.31,49.2,7.21,32.84,34.71,14.435,,140.56,2.43,,,44.87,,,594.2,,,15.0,,53.64,56.31,33.11,10.8,,20.6,30.36,310.73,33.08,,,,36.55,,,,,,,,,,17.4,39.4,32.31,,,28.33,,,50.35,,,,21.12,30.42,92.42,,,19.88,18.03,,52.36,,18.32,33.23,40.56,16.41,18.49,,,29.2,,,,38.28,,31.51,38.22,29.35,,60.99,,,,,48.9,,,24.48,,,45.97,36.49,23.37,10.8,90.409,59.41,0.67,11.51,22.15,,24.9,54.65,,,14.75,73.12,,,,,53.31,,,10.37,,,20.8,34.15,,,,,24.42,41.62,,,,,27.82,,,68.09,,24.64,35.59,,
2010-01-08,,211.62,,36.77,,,26.25,,26.48,17.77,,47.95,14.55,,56.79,133.44,43.74,60.5,,,33.38,10.9,,,,,,42.03,404.12,54.19,,,20.25,23.11,,6.34,,,57.27,90.54,33.59,57.59,,16.9,59.28,36.08,,24.66,42.35,,26.86,46.86,43.82,,,,16.745,28.91,21.16,49.3,,9.01,,23.54,20.4,,106.64,91.65,,34.75,24.26,,47.15,52.87,48.65,7.25,32.93,35.18,14.505,,139.97,2.515,,,44.56,,,602.41,,,15.0,,54.0,55.84,33.19,10.9,,20.83,31.06,309.08,34.04,,,,37.1,,,,,,,,,,18.25,40.34,32.1,,,28.5,,,50.44,,,,21.3,30.67,94.83,,,20.0,17.42,,53.41,,18.37,33.56,39.8,16.71,18.55,,,29.34,,,,37.93,,31.53,38.24,29.95,,60.72,,,,,49.46,,,24.23,,,45.06,36.5,23.29,10.77,90.3967,59.09,0.66,11.66,22.3,,25.47,55.4,,,14.98,72.57,,,,,53.29,,,10.4,,,21.57,33.98,,,,,24.62,40.75,,,,,27.96,,,67.84,,25.0,35.65,,
2010-01-11,,210.27,,36.23,,,26.25,,26.37,17.59,,47.66,14.89,,57.01,130.23,43.88,59.97,,,32.79,10.9,,,,,,41.78,403.3,53.94,,,20.1,23.07,,6.34,,,57.27,88.7,33.72,57.73,,16.79,59.34,35.99,,24.59,42.44,,26.76,46.49,42.49,,,,16.69,28.73,21.23,49.0,,8.99,,23.43,20.48,,107.58,90.23,,34.75,24.09,,45.99,52.45,48.91,7.15,32.57,36.04,14.52,,138.2,2.505,,,44.95,,,602.0,,,14.94,,55.82,57.73,33.78,11.08,,20.98,31.28,311.0,34.54,,,,37.02,,,,,,,,,,18.56,41.5,31.78,,,28.46,,,45.79,,,,21.17,30.21,91.16,,,19.83,17.77,,53.14,,18.36,32.94,39.01,16.73,18.31,,,29.26,,,,38.11,,31.79,38.92,30.77,,60.72,,,,,49.32,,,24.76,,,45.3,36.71,23.21,10.58,90.6435,60.01,0.69,11.64,22.1,,25.45,55.34,,,14.99,73.63,,,,,52.91,,,10.75,,,21.22,33.85,,,,,24.48,41.74,,,,,29.74,,,67.65,,24.74,36.03,,
2010-01-12,,206.88,,35.62,,,25.83,,26.05,17.2,,47.0,14.19,,55.78,126.86,42.63,59.65,,,32.7,10.76,,,,,,41.39,386.03,53.27,,,19.81,22.75,,6.2,,,56.99,87.02,33.67,56.84,,16.44,58.89,35.69,,24.2,41.72,,26.39,47.02,42.0,,,,16.245,27.96,20.32,49.76,,9.38,,23.08,20.15,,103.22,89.18,,34.5,23.22,,45.93,50.95,48.48,7.01,31.915,35.87,14.03,,133.13,2.475,,,44.92,,,589.05,,,14.92,,54.94,57.62,37.58,10.37,,20.54,31.19,304.52,33.71,,,,35.58,,,,,,,,,,17.99,38.72,31.28,,,27.99,,,45.11,,,,20.34,30.05,99.22,,,19.02,17.41,,52.3,,18.47,32.35,38.37,16.19,17.64,,,28.99,,,,38.76,,31.58,38.74,30.14,,61.53,,,,,48.39,,,24.48,,,45.35,35.33,22.79,10.33,91.5505,59.79,0.67,11.52,21.81,,25.01,54.79,,,14.68,70.42,,,,,52.9,,,10.17,,,21.1,33.55,,,,,24.17,41.74,,,,,29.43,,,67.93,,24.05,35.69,,
2010-01-13,,210.68,,36.22,,,26.32,,26.08,17.62,,47.14,14.29,,56.63,129.48,43.13,59.95,,,33.74,10.93,,,,,,42.0,437.11,54.23,,,20.31,23.16,,6.39,,,57.68,88.36,33.95,57.28,,16.79,59.41,35.49,,24.64,41.55,,26.88,48.82,42.49,,,,16.34,27.91,20.49,49.34,,9.23,,23.61,20.66,,103.24,90.06,,34.8,23.64,,46.79,52.42,48.89,7.25,31.82,35.87,13.95,,132.41,2.43,,,45.67,,,587.67,,,15.15,,56.44,59.07,40.02,10.35,,21.0,31.59,307.5,33.86,,,,36.16,,,,,,,,,,18.07,38.98,32.36,,,28.23,,,45.17,,,,20.74,30.39,98.53,,,19.34,17.81,,54.13,,18.69,33.79,38.35,16.44,17.97,,,29.33,,,,38.99,,31.64,39.03,30.59,,62.05,,,,,48.86,,,24.7,,,45.86,36.19,23.43,10.67,94.0,60.08,0.67,12.8,22.03,,25.33,55.77,,,15.05,70.5,,,,,53.32,,,10.35,,,21.35,34.17,,,,,24.44,42.77,,,,,29.32,,,69.33,,24.26,36.33,,
2010-01-14,,209.65,,35.94,,,26.66,,26.86,17.19,,47.67,14.36,,56.09,127.59,43.51,60.24,,,33.5,10.87,,,,,,41.44,464.69,54.22,,,20.43,23.46,,6.32,,,58.13,88.2,34.17,57.66,,16.67,58.8,35.71,,24.95,42.42,,26.67,48.18,43.07,,,,16.21,27.8,20.19,49.28,,9.24,,22.96,20.83,,104.14,90.95,,34.76,23.09,,46.38,52.12,48.75,7.24,31.8,35.89,13.975,,126.06,2.49,,,45.53,,,591.72,,,15.3,,56.12,59.69,38.79,10.18,,21.5,31.85,308.49,34.7,,,,35.01,,,,,,,,,,18.17,38.32,31.97,,,28.03,,,43.36,,,,20.38,31.05,98.85,,,19.27,17.87,,51.12,,18.78,33.68,39.14,16.92,17.66,,,29.23,,,,38.78,,31.32,38.93,30.59,,62.9,,,,,48.44,,,24.71,,,45.62,36.45,23.59,10.68,92.6611,60.94,0.68,12.67,22.2,,25.0,55.59,,,15.33,73.67,,,,,52.98,,,10.15,,,20.42,33.93,,,,,24.33,41.35,,,,,28.22,,,72.22,,24.11,36.59,,
2010-01-15,,206.24,,35.9,,,26.07,,26.69,16.89,,47.41,13.74,,56.37,127.32,43.39,60.37,,,32.8,10.93,,,,,,40.67,465.24,54.19,,,20.87,23.29,,6.22,,,57.52,87.04,34.48,57.81,,16.63,58.76,35.21,,24.4,41.45,,26.26,47.93,43.22,,,,16.565,28.43,19.91,49.39,,9.67,,22.48,20.62,,102.06,90.03,,34.45,22.71,,45.77,51.57,47.94,7.08,30.81,35.82,13.73,,124.31,2.455,,,45.56,,,582.07,,,15.4,,55.56,59.08,38.97,9.86,,20.82,31.53,308.74,34.02,,,,33.33,,,,,,,,,,18.1,36.85,31.32,,,27.39,,,42.32,,,,19.63,30.87,103.36,,,18.65,18.2,,51.06,,18.85,33.17,37.31,16.5,17.14,,,28.44,,,,38.21,,30.62,37.99,30.05,,62.35,,,,,48.6,,,23.92,,,44.98,36.78,23.31,10.26,93.3151,59.46,0.67,12.73,22.01,,25.11,54.86,,,14.84,72.74,,,,,52.5,,,10.05,,,20.41,32.46,,,,,23.98,40.25,,,,,27.95,,,70.47,,23.52,35.92,,
