date,SPY,QQQ,IWM,TLT,GLD,XLF,XLK,XLE,XLV,XLU
2016-02-02,190.16,102.15,100.28,129.02,108.09,21.03,40.65,55.33,65.61,46.05
2016-02-03,191.3,101.66,100.41,127.95,109.25,21.05,40.6,57.3,66.04,46.62
2016-02-04,191.6,101.65,100.8,128.57,110.57,21.23,40.64,57.27,65.68,46.42
2016-02-05,187.95,98.12,98.04,128.72,112.32,20.95,39.5,55.94,64.4,46.57
2016-02-08,185.42,96.62,96.43,131.49,113.83,20.42,38.93,55.65,63.52,46.41
2016-02-09,185.43,96.32,95.78,131.63,113.58,20.39,38.75,54.31,63.99,46.57
2016-02-10,185.27,96.69,95.83,132.79,114.46,20.28,38.83,54.09,64.56,46.52
2016-02-11,182.86,96.55,94.79,133.72,119.06,19.66,38.73,53.86,63.52,45.7
2016-02-12,186.63,98.02,96.59,131.5,118.36,20.49,39.27,55.28,64.37,45.56
2016-02-16,189.78,100.23,98.88,130.11,114.77,20.82,39.97,55.83,65.58,45.85
2016-02-17,192.88,102.5,100.43,129.31,115.48,21.1,40.79,57.66,66.41,45.76
2016-02-18,192.09,101.33,99.95,130.9,118.29,20.98,40.63,56.94,66.0,46.51
2016-02-19,192.0,101.63,100.45,131.0,117.58,20.98,40.66,56.81,65.93,46.2
2016-02-22,194.78,103.28,101.57,130.94,115.49,21.31,41.2,58.26,66.87,46.74
2016-02-23,192.32,101.58,100.64,131.47,117.22,20.93,40.55,56.27,66.37,46.78
2016-02-24,193.2,102.55,101.61,131.21,117.61,20.88,40.86,56.84,66.59,47.0
2016-02-25,195.54,103.56,102.54,131.68,117.92,21.17,41.37,56.89,67.42,47.48
2016-02-26,195.09,103.43,103.19,130.41,117.11,21.32,41.26,57.23,67.3,46.17
2016-02-29,193.35,102.5,102.73,130.98,118.64,21.09,40.97,56.58,66.22,46.3
2016-03-01,198.11,105.79,104.94,128.43,117.77,21.8,42.19,58.06,67.65,46.07
2016-03-02,199.0,105.83,106.02,128.96,118.68,22.04,42.31,59.48,67.76,46.31
2016-03-03,199.77,105.63,107.13,129.43,120.73,22.19,42.31,60.38,67.57,46.59
2016-03-04,200.43,105.67,107.72,128.6,120.54,22.28,42.42,60.96,67.41,47.11
2016-03-07,200.59,105.02,108.89,128.56,121.14,22.27,42.16,62.39,67.95,47.37
2016-03-08,198.4,104.15,106.26,129.98,120.58,21.91,41.9,59.77,67.12,47.84
2016-03-09,199.38,104.82,106.8,129.19,119.58,21.94,42.26,60.74,67.24,48.06
2016-03-10,199.54,104.66,105.93,128.66,121.5,21.92,42.22,60.79,67.28,48.09
2016-03-11,202.76,106.49,108.2,127.36,119.41,22.49,42.87,62.36,68.59,48.15
2016-03-14,202.5,106.67,107.92,127.76,117.87,22.42,42.92,61.95,68.3,48.21
2016-03-15,202.17,106.63,106.24,127.88,117.96,22.41,43.08,61.83,67.24,48.3
