date,CSCO,VZ,COF,EW,IBM,CAT,MO,AAPL,MSFT,AMZN,JNJ,UNH,XOM,JPM,V,PG,MA,HD,CVX,MRK,KO,WMT,MCD,ABT,ADBE,NKE,DIS,WFC,CMCSA,QCOM,AMGN,UPS,BA,GE,SBUX,GS,MS,T,CI,SO,DUK,USB,CL,MMM,SLB,F,MET,AIG,COP,TGT,AXP,C,BAC,INTC,NSC,FDX,ALL,PEP,PFE,ACN,DHR,BLK,INTU,LOW,DE,GILD,TJX,MMC,CB,SYK,PGR,EOG,TRV,BIIB,ADSK,CRM,LMT,NVDA,APD,SHW,EMR,ITW,BDX,KMB,YUM,ROST,COST,ISRG,ICE,VLO,PLD,PNC,REGN,PM,DG,NEE,GM,SCHW,AON,ADP
2011-01-26,21.42,36.4,48.28,14.1367,161.04,95.75,24.27,343.85,28.78,175.39,60.6,40.25,79.66,44.98,71.0,66.11,240.18,37.42,94.64,33.2,62.96,57.32,75.17,46.75,33.52,84.0,39.44,32.45,23.32,51.86,56.48,72.87,70.02,19.92,33.07,161.31,29.01,28.73,42.06,38.16,18.1,26.6,80.0,89.57,87.47,18.37,46.56,41.61,69.25,55.59,44.46,4.81,13.55,21.75,62.73,94.31,31.68,65.86,18.36,52.35,47.3,199.96,47.12,25.85,90.99,39.66,48.59,27.86,59.02,57.35,19.99,102.28,56.2,67.5,40.88,128.29,78.39,24.54,86.92,84.87,59.08,55.43,84.13,65.13,47.77,66.52,72.62,338.06,114.97,25.3,14.7,61.17,34.47,57.38,28.75,54.21,37.89,18.04,45.77,48.47
2011-01-27,21.44,36.49,48.4,14.1533,161.07,96.63,23.92,343.21,28.87,184.45,60.68,42.29,79.88,45.1,70.6,64.18,239.11,37.98,94.75,33.25,62.7,57.57,74.35,46.38,33.85,82.77,39.46,32.5,23.31,54.9,56.48,72.91,70.56,20.28,33.03,164.03,29.85,28.13,42.55,38.16,18.21,26.96,77.39,89.19,85.98,18.79,47.16,41.97,69.39,54.83,44.54,4.83,13.67,21.75,62.31,94.36,31.89,65.56,18.48,52.36,46.65,201.73,47.31,26.24,90.98,38.94,48.61,28.42,59.33,58.11,19.99,103.25,56.63,67.09,40.77,128.24,79.1,24.47,86.34,85.7,58.49,55.29,83.55,65.13,47.59,66.99,73.12,334.17,117.85,25.37,15.9,61.67,34.87,56.99,28.67,54.41,38.67,18.14,45.91,48.66
2011-01-28,20.93,35.63,48.24,13.8633,159.21,95.68,23.79,336.1,27.75,171.14,60.01,40.93,78.99,44.54,69.46,64.2,234.87,36.7,93.37,33.07,62.21,56.7,73.28,45.49,32.49,81.46,38.85,31.84,22.84,53.74,55.29,70.73,69.23,20.2,31.73,161.77,29.04,27.49,41.26,37.77,17.96,26.8,76.99,87.44,86.67,16.27,45.5,40.26,70.56,54.35,43.86,4.72,13.6,21.46,60.38,90.48,31.15,64.4,18.15,51.52,46.05,194.28,46.77,25.25,88.91,38.21,47.71,27.78,57.97,57.2,19.66,102.53,55.81,65.08,39.97,131.61,78.2,23.76,85.77,84.46,56.96,54.71,82.56,64.73,46.4,65.46,71.93,327.93,116.91,25.15,15.21,60.11,33.45,56.6,28.4,54.03,36.6,17.79,45.32,47.89
2011-01-31,21.15,35.62,48.16,14.0483,162.0,97.01,23.51,339.32,27.72,169.64,59.77,41.05,80.68,44.94,69.85,63.13,236.51,36.77,94.93,33.17,62.85,56.07,73.67,45.16,33.05,82.48,38.87,32.42,22.75,54.13,55.08,71.62,69.48,20.14,31.53,163.62,29.4,27.52,42.02,37.62,17.88,27.0,76.77,87.92,88.99,15.95,45.77,40.35,71.46,54.83,43.38,4.82,13.73,21.46,61.19,90.32,31.14,64.31,18.22,51.47,46.06,198.02,46.93,24.8,90.9,38.38,47.39,27.88,57.93,57.56,19.81,106.39,56.26,65.47,40.68,129.14,79.6,23.92,87.25,84.73,58.88,53.49,82.95,64.73,46.76,65.2,71.84,322.91,120.49,25.36,14.92,60.0,33.68,57.24,27.81,53.46,36.49,18.05,45.74,47.9
2011-02-01,21.47,36.27,49.86,14.3233,163.56,98.01,23.58,345.03,27.99,172.11,60.63,42.07,83.91,45.93,70.7,62.92,238.15,36.99,96.22,34.0,63.05,56.33,73.47,45.23,33.51,83.55,39.88,33.44,23.4,55.08,55.71,74.59,70.29,20.8,32.25,165.33,29.92,27.87,42.91,37.94,18.05,27.66,76.71,87.79,89.61,15.89,46.96,41.06,71.71,54.64,43.6,4.9,14.31,21.48,62.12,92.69,31.6,65.05,19.22,52.37,47.59,201.23,47.57,25.0,92.96,38.5,47.94,28.35,58.73,58.54,20.01,107.38,56.81,65.49,42.16,131.64,80.59,24.47,89.62,84.67,59.76,53.55,83.82,64.52,47.42,65.6,72.43,332.58,121.38,26.06,14.84,62.29,33.7,57.72,28.85,54.53,36.45,18.51,46.26,48.91
2011-02-02,21.62,36.16,49.46,14.3867,163.3,99.09,23.68,344.32,27.94,173.53,60.62,41.95,83.41,45.45,72.09,62.79,239.39,36.56,96.48,33.82,62.86,55.86,73.64,45.73,33.43,83.91,40.49,32.72,23.07,53.98,55.63,74.04,71.0,20.71,32.2,165.05,29.66,27.67,42.26,37.62,17.96,27.39,76.05,87.75,89.08,15.4,46.18,41.17,72.11,53.46,43.72,4.85,14.24,21.56,60.9,90.8,31.13,64.65,18.96,52.56,47.68,197.64,47.81,24.26,94.09,39.46,47.13,28.19,58.14,58.2,19.86,107.24,56.71,66.15,43.41,135.08,81.07,25.58,89.04,83.83,59.85,53.53,83.72,63.98,47.73,64.85,70.85,327.79,120.29,26.43,14.78,62.33,34.57,57.68,27.63,54.86,35.68,18.43,46.37,48.91
2011-02-03,21.91,36.38,49.05,14.2583,163.53,98.93,24.05,343.44,27.65,173.71,60.8,43.04,83.44,45.46,71.63,62.9,245.39,36.7,97.31,32.9,62.57,55.92,73.83,46.0,33.53,83.8,40.5,32.75,23.21,54.97,55.45,74.29,70.98,20.75,32.36,164.64,29.81,27.99,42.56,37.59,18.09,27.47,75.93,87.95,89.43,15.76,46.53,40.58,72.03,54.05,43.53,4.81,14.43,21.57,60.83,91.46,31.22,64.18,19.17,52.78,47.45,196.82,48.2,24.5,93.48,38.73,49.51,28.27,58.21,58.41,19.87,107.05,57.25,65.58,43.75,134.17,80.72,25.09,88.59,83.94,60.24,53.34,84.18,64.82,49.23,68.61,74.03,330.48,119.26,26.11,14.82,62.11,34.71,58.01,27.45,54.99,36.06,17.84,46.16,49.08
2011-02-04,22.05,36.31,48.76,14.3233,164.0,99.59,24.0,346.5,27.77,175.93,60.84,42.49,83.28,44.59,72.9,63.61,247.24,36.8,97.11,32.89,62.56,56.03,74.05,46.12,33.36,85.74,40.71,32.75,23.27,55.23,55.2,74.34,71.38,20.56,32.57,164.83,29.85,27.97,42.83,37.34,18.01,27.42,76.24,88.29,89.33,15.72,47.34,40.0,71.67,54.27,43.82,4.82,14.29,21.68,61.07,91.74,31.35,63.84,19.3,52.55,47.98,194.35,48.4,24.71,93.21,38.79,49.7,28.39,58.7,58.51,20.13,106.78,57.41,65.93,43.69,137.95,80.71,25.67,88.61,84.11,60.59,54.25,84.5,65.01,49.3,69.89,74.13,331.26,120.38,26.53,14.83,62.0,34.47,58.66,27.47,54.74,36.59,18.12,48.16,49.34
2011-02-07,22.03,36.02,49.53,14.445,164.82,100.47,24.06,351.88,28.19,176.43,60.87,41.81,83.93,45.5,73.93,64.55,249.98,36.6,97.66,33.0,62.52,56.07,73.45,45.69,33.56,86.5,40.94,33.32,23.54,55.07,54.88,74.25,71.93,20.87,32.35,167.13,30.42,27.96,42.31,37.47,18.15,27.95,76.28,88.79,89.83,16.11,48.63,42.15,72.29,54.8,44.82,4.9,14.67,21.69,61.5,91.46,31.88,63.68,19.04,52.67,49.03,196.0,48.79,24.62,94.14,38.38,49.79,28.43,58.86,59.48,20.04,105.59,57.18,65.25,43.52,136.9,81.52,24.6,89.25,83.97,60.85,55.23,85.64,64.94,49.4,69.44,74.25,333.42,120.32,27.3,14.99,62.75,34.4,59.0,27.9,55.19,36.7,18.55,48.7,49.49
2011-02-08,21.99,36.34,51.58,14.675,166.05,100.61,24.13,355.2,28.28,183.06,60.94,41.97,82.98,45.74,74.57,64.64,249.61,37.16,97.74,33.27,62.87,56.38,75.36,45.61,33.57,86.71,41.18,34.1,23.66,56.1,54.94,74.47,72.71,21.28,33.12,168.55,30.64,27.91,42.66,37.36,18.13,28.22,78.56,89.47,89.06,16.24,48.47,42.37,72.0,55.39,45.88,4.89,14.61,21.63,61.6,92.05,32.56,64.17,19.16,52.64,49.74,199.37,49.03,24.75,93.49,38.79,49.84,28.58,59.21,59.7,20.22,104.76,57.88,66.15,42.93,136.3,81.4,23.87,89.55,84.17,61.33,55.27,81.03,65.07,49.59,69.92,74.8,333.93,118.22,28.0,14.96,64.31,34.95,59.06,28.0,55.43,36.89,19.04,49.19,49.52
