date,AAPL,MSFT,JNJ,V,WMT,PG,JPM,UNH,HD,MA,DIS,BAC,XOM,CVX,PFE,KO,PEP,CSCO,IBM,MRK,WFC,INTC,ORCL,AMZN,MMM,CAT,T,GE,C
2013-07-15,427.44,36.17,90.4,190.25,77.03,81.51,54.89,67.62,80.4,595.87,65.93,13.88,93.25,124.68,28.79,41.01,84.72,25.93,194.0,48.52,43.35,23.94,31.25,306.57,114.85,87.4,35.55,23.63,51.81
2013-07-24,440.51,31.96,92.36,186.75,78.23,80.27,56.63,72.53,80.27,590.99,64.64,14.71,94.99,126.37,29.28,40.86,85.64,25.59,196.61,47.77,44.31,22.93,32.39,298.94,116.33,83.44,35.4,24.62,52.19
2013-07-25,438.5,31.39,92.57,194.61,78.01,80.41,56.5,72.62,78.99,598.98,64.55,14.83,94.97,127.76,29.19,40.84,85.55,25.5,197.22,48.17,43.65,23.06,32.37,303.4,116.55,82.14,35.46,24.69,52.66
2013-07-26,440.99,31.62,92.83,193.2,78.0,80.39,56.05,72.21,78.74,598.15,64.98,14.73,94.79,127.56,29.37,40.64,85.31,25.5,197.35,48.49,43.51,23.26,32.54,312.01,116.91,82.06,35.6,24.65,52.21
2013-07-29,447.79,31.54,93.21,191.97,77.99,80.09,55.69,72.79,78.67,597.02,64.61,14.52,94.03,126.17,29.54,40.28,85.25,25.33,196.21,48.34,43.25,23.24,32.48,306.1,116.61,83.02,35.88,24.49,51.64
2013-07-30,453.32,31.85,93.17,191.44,77.89,80.44,55.33,72.27,78.6,601.42,64.18,14.52,93.81,125.78,29.67,40.32,85.11,25.67,196.01,48.05,43.26,23.38,32.55,302.41,116.84,83.19,35.42,24.48,51.78
2013-07-31,452.53,31.84,93.5,177.01,77.94,80.3,55.73,72.85,79.03,610.61,64.65,14.6,93.75,125.89,29.23,40.08,83.54,25.59,195.04,48.17,43.5,23.33,32.35,301.22,117.43,82.91,35.27,24.37,52.14
2013-08-01,456.67,31.67,93.77,179.17,78.22,81.64,56.54,73.16,78.64,646.38,65.36,14.95,92.73,126.44,29.11,40.57,84.2,25.89,195.81,48.58,44.26,23.2,32.75,305.57,118.41,84.44,35.72,24.62,52.86
2013-08-02,462.54,31.89,94.39,184.0,78.75,81.29,56.49,72.26,80.23,645.57,66.51,14.84,91.95,124.95,29.37,40.22,84.29,26.19,195.16,48.54,44.49,23.22,32.57,304.21,118.26,84.3,35.77,24.7,53.0
2013-08-05,469.45,31.7,93.8,184.54,78.77,81.4,56.1,73.34,79.66,642.45,66.02,14.8,91.59,123.99,29.19,40.29,84.48,26.31,195.5,48.53,44.34,22.92,32.78,300.99,117.92,83.56,35.67,24.52,52.87
2013-08-06,465.25,31.58,93.81,182.89,77.87,81.74,55.49,73.24,80.05,654.0,67.05,14.64,91.47,123.14,29.34,40.37,85.05,26.21,190.99,48.44,44.03,22.8,33.0,300.75,117.5,82.53,35.48,24.31,51.48
2013-08-07,464.98,32.06,93.66,181.39,77.37,81.96,55.3,72.92,78.83,646.32,65.91,14.53,91.34,123.33,29.26,40.15,84.76,26.12,188.56,48.55,43.27,22.7,32.82,296.91,117.83,82.43,35.59,24.34,51.5
2013-08-08,461.01,32.89,93.34,180.78,77.25,82.17,54.83,73.18,80.04,645.84,65.75,14.61,91.78,123.07,29.13,40.2,84.68,26.26,187.93,48.47,43.22,22.45,33.02,295.74,118.68,83.96,35.29,24.33,51.78
2013-08-09,454.45,32.7,92.36,179.81,76.9,81.64,54.52,72.93,78.97,637.96,64.73,14.45,90.72,122.5,29.21,40.16,84.34,26.05,187.82,48.39,43.23,22.51,32.92,297.26,118.31,84.51,34.8,24.25,51.32
2013-08-12,467.36,32.87,92.0,179.76,77.08,81.62,54.09,72.39,79.2,630.72,63.93,14.41,89.89,121.8,29.19,39.83,83.81,26.34,189.09,48.47,43.2,22.64,33.25,296.69,118.38,86.32,34.92,24.27,50.9
2013-08-13,489.57,32.23,93.01,179.23,76.86,81.66,54.29,73.35,79.44,633.33,63.98,14.51,89.4,122.5,29.27,39.65,83.39,26.32,188.42,48.43,43.32,22.52,33.25,293.97,118.67,86.57,34.72,24.2,51.77
2013-08-14,498.5,32.35,90.7,178.35,76.4,81.25,54.15,72.49,77.44,629.98,63.96,14.6,88.95,122.05,29.03,39.53,82.75,26.38,187.53,48.57,43.1,22.57,33.57,291.34,117.62,85.82,34.77,24.07,51.59
2013-08-15,497.91,31.79,89.55,173.93,74.41,80.48,53.29,71.4,75.14,618.74,62.38,14.32,88.16,120.25,28.8,39.09,80.91,24.48,185.79,47.97,42.99,22.03,32.73,286.47,115.85,85.86,34.35,24.0,50.86
