date,CSCO,VZ,COF,EW,IBM,CAT,MO,AAPL,MSFT,AMZN,JNJ,UNH,XOM,JPM,V,PG,MA,HD,CVX,MRK,KO,WMT,MCD,ABT,ADBE,NKE,DIS,WFC,CMCSA,QCOM,AMGN,UPS,BA,GE,SBUX,GS,MS,T,CI,SO,DUK,USB,CL,MMM,SLB,F,MET,AIG,COP,TGT,AXP,C,BAC,INTC,NSC,FDX,ALL,PEP,PFE,ACN,DHR,BLK,INTU,LOW,DE,GILD,TJX,MMC,CB,SYK,PGR,EOG,TRV,BIIB,ADSK,CRM,LMT,NVDA,APD,SHW,EMR,ITW,BDX,KMB,YUM,ROST,COST,ISRG,ICE,VLO,PLD,PNC,REGN,PM,DG,NEE,GM,SCHW,AON,ADP
2020-01-31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-02-28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-03-31,9.033039321626398e-05,0.30661505928811544,4.430210452314995e-08,0.00010429031786308455,1.777246083820837e-05,1.948238293433112e-05,0.0001421901460539384,1.2021187965309849e-05,1.3213224447559432e-05,0.16158502797722638,0.001121787085657875,6.496212556846965e-06,2.8360449926224665e-06,1.8487032461251736e-06,1.622974379642057e-05,0.0001160886527549457,6.363296447138781e-06,6.055618714248741e-07,5.616293770014618e-07,0.0060375664553713616,5.198693019389087e-05,0.16608269212068924,1.2086209406254793e-05,0.00026809723610006877,6.583181650213427e-06,3.386747846321848e-05,4.568773853677177e-06,3.994562249207103e-07,6.237134383242042e-05,1.8281875477408584e-06,0.000302204861550243,0.012445465682488588,3.3705030605192083e-09,1.9572046203459222e-06,4.451579959315717e-06,4.347421511661043e-07,5.004083111966975e-07,5.265991880456915e-05,2.9142870955088725e-06,7.566408188550998e-06,5.683367892604587e-06,3.7710156874116705e-06,0.00013703853139868818,0.00023054345979969188,9.105420715320335e-08,6.621703404763565e-06,2.86803180491139e-07,1.4820973185763422e-08,8.68825358700255e-08,0.001319258814749569,4.1784365289912653e-07,6.31354484732512e-08,1.055543141109763e-06,5.218298024071086e-06,7.905978917235529e-07,1.954257555161983e-05,4.006499813509173e-06,5.966097244148051e-06,0.0013392916650321878,3.8385181640690525e-05,0.0013829703743846408,2.4967931920873573e-06,1.0871457438364151e-05,1.8271401795280803e-07,1.4848291555979705e-06,0.06443871473238595,2.210101230830014e-06,8.115863558207097e-05,8.267754443762038e-06,1.2377295222254314e-05,0.0018997866439310613,2.5729259695655493e-07,2.120642504548566e-06,0.00023708245708983647,2.3730797063522865e-05,3.756053573846394e-05,3.2490321075001935e-05,1.6460641643943597e-06,3.3558517717961335e-05,1.0180253669212749e-05,9.458591763653725e-07,1.4028278832783153e-05,0.25530460771544317,0.0015334018408396577,2.2586109197068448e-05,1.7902434232199127e-06,0.007665227425536422,9.775373311935679e-06,1.8630347284382624e-05,4.570515335782646e-07,8.761872137086626e-06,1.5445485956720948e-06,0.0005449982952973564,1.845285195215786e-06,0.007892699893258602,1.01922747131683e-05,7.238542020916298e-07,3.3473253824714044e-05,0.00034072176330735774,3.852162544835066e-06
2020-04-30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-05-29,8.619336516991067e-05,0.3370016862876082,1.893590039642241e-07,5.659989014657998e-05,2.060753237594924e-05,3.31803061824897e-05,0.00019335289985257905,2.0519591273078246e-05,1.8986280519399946e-05,0.08520156072161002,0.00023776338624979565,1.1857312496313933e-05,1.2198161956809033e-05,3.1462152897915886e-06,1.7460773257340986e-05,0.00017092274200690275,1.1780065110689146e-05,2.4328982937985523e-06,1.0780406425794308e-06,0.00045259416539694013,6.57253051122059e-05,0.22105550942177205,1.3346706165249992e-05,0.0002935946633798167,9.177091580098342e-06,3.4955822576690505e-05,1.6345798373640016e-05,1.3387415723377383e-06,4.352916480102746e-05,7.0527735104394994e-06,0.00021886689203416538,0.024781416047605902,5.130105552592164e-08,1.576342273805362e-06,8.50020237113932e-06,1.8556761264596944e-06,1.3906834179343387e-06,7.988448674291783e-05,7.800951005219198e-06,1.2810280745165728e-05,1.5341588233522294e-05,4.746309963855996e-06,0.0001694965713661116,0.0002198587462838669,3.5901023736012797e-07,5.206102417210049e-06,1.2867418884303842e-06,1.2539037007225327e-07,4.5835698621993015e-07,0.0005588474443327618,9.920730724440805e-07,3.433521318545423e-07,3.1635311989444614e-06,7.908019583296677e-06,3.878847812146239e-06,1.6142642105304232e-05,5.1903783647907325e-06,2.7608319108914224e-05,0.0002336202513421203,3.606742852150118e-05,0.00014045183530959196,8.456454825501307e-06,1.627513094076846e-05,8.448707099147169e-07,5.727564221958804e-06,0.09975927243497003,7.222303174869962e-06,3.021917097344559e-05,5.641836408514702e-06,7.51362433751744e-06,0.00035254855084377776,8.064068419548131e-07,2.6695010825927028e-06,8.108962089521261e-05,9.41161752190831e-06,1.9527215112982726e-05,8.72547709452678e-05,2.8230780129209162e-06,2.5101914909406176e-05,1.2276124703526843e-05,3.0669689625387277e-06,2.7899172920994948e-05,0.22562604215077187,0.00042940889847293195,5.5488967009786564e-05,3.0563861619438837e-06,5.495787352231476e-07,9.942375832742378e-06,2.1614945777414254e-05,7.828706380960588e-07,6.31809708284621e-06,2.4931949606740917e-06,0.0005731148981098462,7.987909756263165e-06,0.0009911927177881207,1.2588264449926283e-05,1.0845454239125553e-06,3.495298469197776e-05,9.008891140566662e-05,7.71268231968401e-06
2020-06-30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-07-31,1.4916672382408509e-06,0.3025246466976077,2.8948658527557513e-09,2.4142021517142063e-06,3.638938993436389e-07,4.28041125941385e-07,5.084257710577005e-06,6.590780423407401e-07,5.880090915457016e-07,0.14560879110836794,3.291064724786831e-05,2.7208359691715045e-07,1.1601032159646116e-07,5.3524077917009176e-08,6.809935629787723e-07,9.560592166216022e-06,2.678824778215926e-07,4.3315472234663906e-08,1.733360466692621e-08,0.00010339868944473375,2.099219261141239e-06,0.1885112262453121,4.978294680927913e-07,8.280934501768562e-06,2.8652123247900176e-07,7.962121349860768e-07,2.024494395131494e-07,1.35327109280892e-08,3.1476338263000392e-06,9.994993409619874e-08,1.6998430415881974e-05,0.00030322401855667664,1.1588541762451377e-10,3.249367910884101e-08,1.1395446448405711e-07,2.4646000993283824e-08,1.918418833201643e-08,1.892609062161282e-06,8.355000972685967e-08,3.683652653545161e-07,6.311213877133781e-07,7.018619357134484e-08,1.5872718722652912e-05,3.3306239872599983e-06,2.1217822690929717e-09,1.099971283003456e-07,1.2731559859703412e-08,1.2533537363828818e-09,3.0306146624319133e-09,8.291625101876872e-05,2.418399323918193e-08,2.103527626911246e-09,3.25129643829274e-08,1.381217200527483e-07,4.383089119139532e-08,2.1432710503210733e-07,1.4829020234103598e-07,5.637066645180641e-07,1.140393276311623e-05,1.321035820034714e-06,2.7893118879212605e-05,1.6595610397474551e-07,5.430990752625646e-07,1.7924779545917048e-08,1.0062087972129188e-07,0.07629022015422783,1.9689745224945014e-07,3.3855386719300674e-06,1.410661954077299e-07,2.1907280336523787e-07,3.572946576911549e-05,5.319432461938979e-09,3.9276235373415956e-08,8.967497759952114e-06,5.359909153966594e-07,8.352549890143376e-07,1.0264456358059911e-06,6.677278022739277e-08,8.476916826956678e-07,5.046281443296102e-07,4.411661508343483e-08,1.1370267137275241e-06,0.26857972112054096,0.000694521692978317,2.743895672018855e-06,9.80671639860151e-08,0.009039177231086827,2.845506646653809e-07,7.594992521069736e-07,6.555331486278618e-09,2.2627488989504518e-07,3.981737265726536e-08,0.00013542570367757178,1.8593945602753727e-07,0.007907728237964427,7.767720307242124e-07,2.0921406838319e-08,7.990701919639092e-07,6.6951878079091935e-06,1.2562794597848415e-07
2020-08-31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-09-30,8.355097171025023e-06,0.24658116456552864,2.0165271707067565e-08,1.5593812365212037e-05,1.839585611818813e-06,1.812172277358577e-06,4.733939073093962e-05,3.4862970902055078e-06,3.376076941539993e-06,0.029614177884761426,0.0005249303019766712,1.4830128275191961e-06,5.688932231098827e-07,2.867769837041767e-07,3.989110963695583e-06,0.00012366133303554414,1.2750394100890745e-06,2.0736979297732257e-07,1.217799988876771e-07,0.0007953473246790056,1.3604586658208915e-05,0.29834605947958037,2.9785927722352196e-06,9.773815300597729e-05,1.4447130845321346e-06,4.3948553249314756e-06,8.291256037025463e-07,6.221521627104511e-08,1.8289270387525907e-05,4.7629316195371846e-07,0.00019235652390148564,0.0020783237205062068,1.3204260018272828e-09,1.8381562432715726e-07,5.076447068693494e-07,1.1787742264609627e-07,9.759580913974132e-08,1.1823224311521486e-05,4.141340428835333e-07,1.6649015206908531e-06,3.2754743969804174e-06,3.4076081991687684e-07,0.0001719814595761985,1.9009204288332738e-05,1.5704142083774386e-08,5.980023090983635e-07,5.173009958433479e-08,8.803449547603846e-09,2.1893924149777355e-08,0.0017719677093937744,1.358467230401485e-07,1.3233962701269376e-08,1.4255299535860268e-07,7.315288835214255e-07,1.7689086157939567e-07,9.96061767320344e-07,8.686696621813524e-07,2.4479036126485573e-06,8.905184175430006e-05,7.4397768282311796e-06,0.00023994024728270886,6.873612913503587e-07,2.983336209097508e-06,9.274471943226122e-08,4.678784696197704e-07,0.14069268681730168,8.561248657463176e-07,2.5800455228077212e-05,8.808364737541772e-07,1.0515609139444701e-06,0.00026536002224638455,3.231157017983496e-08,2.5024922218405813e-07,8.434050832378965e-05,3.351461328515518e-06,5.043953245198494e-06,5.365192207722126e-06,3.337715267867611e-07,5.487847978790666e-06,2.6279076793820825e-06,2.282987409424595e-07,6.531970351252004e-06,0.21957493369764464,0.00500183511009746,1.608686616447241e-05,5.700927021294969e-07,0.030340768945838502,1.5038483555188196e-06,4.637674526794667e-06,4.325173994447774e-08,1.214426727426471e-06,2.0799037613392828e-07,0.0023632405806590217,8.913877185728936e-07,0.020723511224215403,4.361236486743996e-06,1.3683727161219182e-07,4.147470269839201e-06,4.7184802697851067e-05,6.446161720294413e-07
2020-10-30,5.767712029478939e-07,0.23222251731551424,1.8492543282778174e-10,1.1554071366618097e-06,6.166372952453796e-08,8.206317896210904e-08,4.6755037854858674e-06,1.8279836031846758e-07,1.295821619640548e-07,0.049838387844353856,7.601576687776565e-05,4.5930650789004563e-08,1.4039631533383337e-08,5.725144681648101e-09,1.555744674269636e-07,1.6069418703908938e-05,3.98175958065013e-08,3.9375992190380026e-09,1.7679173307060573e-09,9.16767769718607e-05,9.9753774268688e-07,0.29789844610281246,1.0550183852849256e-07,1.1871159089742941e-05,4.4183410008585775e-08,2.359584537972113e-07,2.381112383697162e-08,8.816042296918873e-10,1.3037505361654105e-06,1.1200113491412094e-08,2.3988058563648707e-05,0.0003251944085292326,5.0052121171787014e-12,3.2213580545771856e-09,1.2434354211053348e-08,1.9377189991382737e-09,1.5030891970704697e-09,8.714655780179491e-07,9.418138869666852e-09,7.558596367158959e-08,1.6824034154343156e-07,7.448431401016985e-09,2.136004860018994e-05,1.5989227235892736e-06,1.320745931354183e-10,1.4355788148239886e-08,7.316865210322526e-10,6.477780355805696e-11,2.0284961079715693e-10,0.00023384476787923945,2.1955883050745584e-09,1.1256424159236511e-10,2.557980045411308e-09,1.878007115092451e-08,3.4215479369749893e-09,2.878908960246269e-08,2.20498539281275e-08,1.2365093503173002e-07,9.421542371945648e-06,4.442222134266191e-07,2.6684406715542515e-05,1.9255732754303282e-08,1.1254540703529034e-07,1.3975011124138602e-09,1.107656104470202e-08,0.13859348485612635,2.519136949383068e-08,1.3451838649308161e-06,2.2475891823081506e-08,3.121702892297555e-08,2.858531009301658e-05,3.5083169914917287e-10,4.504491811672349e-09,8.54807763532523e-06,1.171214904846805e-07,2.0040855405283024e-07,3.5628438665255623e-07,7.106032315105094e-09,2.342482269726289e-07,9.634027545302449e-08,4.334450280298646e-09,3.752087052473614e-07,0.23926626953928007,0.0011215203482462153,1.156745995527361e-06,1.3209584391025756e-08,0.007043733580717286,4.688136165147748e-08,1.7996280577322182e-07,4.948995715481279e-10,3.5270909706160733e-08,3.874428464155765e-09,0.0003207894927275755,2.4624840398216575e-08,0.032799605945739024,2.3596367387555748e-07,2.0959079379025107e-09,2.148484260726072e-07,3.825676003639916e-06,1.6290778665776194e-08
