date,CSCO,VZ,COF,EW,IBM,CAT,MO,AAPL,MSFT,AMZN,JNJ,UNH,XOM,JPM,V,PG,MA,HD,CVX,MRK,KO,WMT,MCD,ABT,ADBE,NKE,DIS,WFC,CMCSA,QCOM,AMGN,UPS,BA,GE,SBUX,GS,MS,T,CI,SO,DUK,USB,CL,MMM,SLB,F,MET,AIG,COP,TGT,AXP,C,BAC,INTC,NSC,FDX,ALL,PEP,PFE,ACN,DHR,BLK,INTU,LOW,DE,GILD,TJX,MMC,CB,SYK,PGR,EOG,TRV,BIIB,ADSK,CRM,LMT,NVDA,APD,SHW,EMR,ITW,BDX,KMB,YUM,ROST,COST,ISRG,ICE,VLO,PLD,PNC,REGN,PM,DG,NEE,GM,SCHW,AON,ADP
2020-01-31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-02-28,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-03-31,0.00011102494216221138,0.4038847498517076,7.19746464294999e-08,0.00012409850291441826,2.2657667209500465e-05,2.4958780528886906e-05,0.00016529533116054488,1.5621888434728697e-05,1.702763584670398e-05,0.18538146036956782,0.0012414836707909304,8.583251891069827e-06,3.883651125065355e-06,2.573779504564603e-06,2.06620000113182e-05,0.00013904487607428184,8.48582456941781e-06,8.866427453837694e-07,8.129312428874589e-07,0.003734418679855456,6.334857396676087e-05,0.09305411744388986,1.555192439822729e-05,0.0003098638426545218,8.702808966552187e-06,4.19566552236381e-05,6.1854843441089186e-06,5.980664927628575e-07,7.423000678600444e-05,2.5535095463266005e-06,0.00034064254049940716,0.01239187421857012,6.034725895917174e-09,2.7190938805745058e-06,6.024502019275781e-06,6.46754717609275e-07,7.387478438458671e-07,6.426794448497042e-05,3.99432769568251e-06,1.012162425646293e-05,7.62144665556991e-06,5.1431368330639536e-06,0.00015809643356881403,0.00026310884124355373,1.4250467508092492e-07,8.74497962073157e-06,4.361151564943473e-07,2.5305050623953404e-08,1.3555951208635608e-07,0.001201390067259651,6.195229312902779e-07,1.0129192759094044e-07,1.5172921747885223e-06,6.946264123755187e-06,1.1543041910738333e-06,2.5034127311083548e-05,5.366854806092079e-06,8.005876449232538e-06,0.0012011017286149743,4.71715547344624e-05,0.0015092799488053493,3.4795069909402867e-06,1.4129770791598777e-05,2.8082605481018044e-07,2.096474682280037e-06,0.047876683561297824,3.090756553475493e-06,9.37096872268803e-05,1.0761752353717374e-05,1.6144781592836208e-05,0.0017194596731611009,3.863905508603676e-07,2.9058658301610382e-06,0.0002692267090529696,2.942805201402111e-05,4.5922520345320283e-05,4.156399754722123e-05,2.306646291565925e-06,4.201303551236327e-05,1.3296675770581689e-05,1.3567810653431304e-06,1.7932877427976095e-05,0.23107929967076304,0.001393038254195562,2.841280258588999e-05,2.484112356891748e-06,0.005728427558864768,1.2755437947705401e-05,2.3419794311145274e-05,6.699152207595412e-07,1.1492946584875187e-05,2.171004030092576e-06,0.000594331112149753,2.581167198488715e-06,0.004713897129178264,1.3349919364354867e-05,1.0398989972200997e-06,4.107763007651449e-05,0.0003830738521396844,5.211939324001605e-06
2020-04-30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-05-29,1.5873316340334826e-05,0.33243484084275243,1.93993031389577e-09,7.645096825707813e-06,1.8766609370873948e-06,3.4537152526844186e-06,4.177852407998509e-05,1.7789113149717664e-06,1.6551437203586772e-06,0.005108279642542314,0.000491655775485825,8.116572757965859e-07,8.440484465766873e-07,1.1904903298586122e-07,1.4471897586740294e-06,4.6133321444646075e-05,7.935362428534047e-07,8.170474561916894e-08,2.5270136840384888e-08,0.00035714611660176207,9.790223420105597e-06,0.26891482707982406,1.007189524134409e-06,7.0185470349475e-05,5.862738404955653e-07,3.9152582498432764e-06,1.2905064051004272e-06,3.3243715596408896e-08,5.797409470862209e-06,3.9479698883208514e-07,6.307739936367235e-05,0.004989568604328544,3.070101825472804e-10,4.3964999973809394e-08,5.196498825232332e-07,5.3892207453430964e-08,3.553630914946477e-08,1.167814224726532e-05,4.4777394557147064e-07,8.959711304767948e-07,1.170124567933745e-06,2.1510286497308977e-07,4.3895094415965733e-05,5.358719106185675e-05,5.074630888733262e-09,2.501348856994998e-07,3.114662249126404e-08,1.0434286502283798e-09,7.408980013687654e-09,0.0004916446659435059,2.1800201096243266e-08,4.600965678315201e-09,1.1623334682029898e-07,4.825978801813941e-07,1.5611240277284847e-07,1.356878641954491e-06,2.571071829976341e-07,2.751582313283677e-06,0.00020976469450462997,4.247161824805695e-06,3.845631887226424e-05,4.86981767284606e-07,1.2859160076154836e-06,1.7117395366114034e-08,2.857157731437615e-07,0.13051985294700363,3.9420064264383146e-07,3.5610076649603525e-06,2.9118141403712057e-07,4.1541502257133785e-07,0.000159996243702165,1.6666490644050838e-08,9.725262880377531e-08,1.3940891247959132e-05,6.253758770815332e-07,1.7986431476273712e-06,1.1469780142367536e-05,1.0281524256851328e-07,2.367036386398289e-06,8.623401562109872e-07,1.11289815755621e-07,2.8441204341661136e-06,0.22679475178938222,0.0009246904801140813,8.602016465103313e-06,1.1623672812936345e-07,0.021798445131592185,6.393216402900953e-07,2.003469601547274e-06,1.6072870314604854e-08,3.453568040095276e-07,8.436641845003902e-08,0.00026809445488702786,4.6470816302789416e-07,0.00602422396549899,9.109003601160523e-07,2.545919415586864e-08,3.6011873676486476e-06,1.2902981054718611e-05,4.469322751971824e-07
2020-06-30,2.1074603098510344e-06,0.6807820350682079,2.5287866850583145e-09,2.906701267640582e-06,3.383419891873593e-07,4.642698012461912e-07,8.969647341048382e-06,7.236514861276358e-07,5.38561437852458e-07,0.00038697310586769345,0.00010168731843483588,2.350814750723523e-07,1.0216431845656769e-07,4.5650726081728795e-08,6.031863262080596e-07,2.2146659898386753e-05,2.4107626900472984e-07,3.596096602767265e-08,1.470986097978692e-08,8.070644793860894e-05,2.5774092674213357e-06,0.053295052535746575,4.1649418840401194e-07,1.8723136650489247e-05,2.3216820847572574e-07,9.117435937299133e-07,1.7730893485765928e-07,1.2106795321992775e-08,2.7750787745914947e-06,8.366212128411313e-08,2.4004008444001807e-05,0.00018305645703595795,1.2070684578953164e-10,2.8064571109135933e-08,9.904194716856513e-08,2.1119637895129437e-08,1.6740410651134044e-08,2.488990386459183e-06,7.454072535047296e-08,4.0738951851167216e-07,6.571825069031535e-07,6.293902380616175e-08,2.381213319787419e-05,4.4986857817986206e-06,2.0095371758771204e-09,9.404453694905045e-08,1.1496459544267049e-08,1.1500162432021794e-09,2.812643082401574e-09,0.0001353118343189733,2.0029768349767826e-08,1.998213232305254e-09,2.9020704136733614e-08,1.1982293002988537e-07,3.7730324886985816e-08,1.9904099537569585e-07,1.1877371070224546e-07,5.90871832786371e-07,1.5581202773024912e-05,1.3628371245170699e-06,2.477571641851161e-05,1.474933402817358e-07,4.913528922403548e-07,1.4919407983753273e-08,8.349674480940586e-08,1.88528451391664e-05,1.7304299482207883e-07,2.4259706722148987e-06,1.202432905347203e-07,1.9858866403071959e-07,2.5849628133924166e-05,4.938527854336446e-09,3.343366505934282e-08,1.1242075504606541e-05,4.2141923836879805e-07,6.915280370811293e-07,1.5272286436878179e-06,5.59750082506553e-08,8.215056376075377e-07,4.4671953635878386e-07,3.740054329108805e-08,1.1376635801962283e-06,0.25641031630302663,0.0007770039045729422,2.7696380257424137e-06,7.937306645387925e-08,0.0062547126469434874,2.4790287418031107e-07,6.376808940275772e-07,6.06025428143762e-09,1.8941243403414836e-07,3.464969694009449e-08,0.00011676156861419439,1.5006112214473874e-07,0.0012359011954011312,8.039070529728585e-07,1.7533419396608768e-08,8.248063061502278e-07,5.329179104274286e-06,1.0966479670185452e-07
2020-07-31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-08-31,1.8887149748595584e-05,0.3248607189689299,5.396726055748607e-08,2.852944216645757e-05,4.1764174561623205e-06,4.310149857619477e-06,8.124422147269668e-05,7.144004781124262e-06,6.790428596893885e-06,0.010546819408679626,0.0008031495528601385,3.08045025282251e-06,1.3390833763994494e-06,6.804274296655794e-07,7.754570188593534e-06,0.00018909504235734863,2.8823723395645223e-06,5.052285932679993e-07,2.826808932723298e-07,0.001012387751438194,2.4924034483063574e-05,0.28276449452560715,5.69062093013029e-06,0.00016458351732125354,3.0243396979227377e-06,9.112743337201776e-06,2.00069999017512e-06,1.7725637396989596e-07,3.001855401428621e-05,1.1088127495451312e-06,0.00026273378217843505,0.002462437307007202,4.2741109420871015e-09,4.489875253467435e-07,1.245984333648005e-06,3.0565142308216343e-07,2.562669295061647e-07,2.2968421606467377e-05,1.0057189054564741e-06,3.7836326683125454e-06,6.3887799031672985e-06,8.545682179308337e-07,0.0002317376172820244,3.93290416921048e-05,4.497389480636111e-08,1.351303594698952e-06,1.5514701899452006e-07,2.581595687291529e-08,6.057938608832018e-08,0.002066989880404015,3.24594620714056e-07,4.013991289663271e-08,3.8708032866281664e-07,1.6626595075859752e-06,4.6940943597060376e-07,2.479947539882807e-06,1.7876149640209987e-06,5.249128056446381e-06,0.00015984607583298461,1.4126121151048449e-05,0.00030728743424557017,1.6479129844906883e-06,6.073637052818949e-06,2.3255909170047938e-07,1.0838866309803975e-06,0.14929067634867016,1.9555635157395896e-06,3.794295483435195e-05,1.8614709506056543e-06,2.446245712600856e-06,0.00034133087101363376,9.216413143484902e-08,5.764032113296789e-07,0.00012128065365393068,6.186325730894168e-06,9.552517508925135e-06,1.2349089721161092e-05,7.873007605540998e-07,1.077837809120335e-05,5.41566884756092e-06,5.49086885622035e-07,1.1764499319218582e-05,0.18061439017281022,0.0050337029631096685,2.684565635072575e-05,1.1969786703408281e-06,0.017260697562641526,3.2226845221206586e-06,8.699264076436295e-06,1.1739476016107113e-07,2.5834619854844304e-06,5.151838627579245e-07,0.001982912414806122,1.9021415566487725e-06,0.01893123838087642,8.165481759708278e-06,3.1929608243384793e-07,8.404775366976031e-06,6.82714369734981e-05,1.4768486513117864e-06
2020-09-30,1.9705297509138526e-06,0.6802890703725513,2.426734408565076e-09,2.726579578280705e-06,3.18430883368224e-07,4.354772964160843e-07,8.406200877366553e-06,6.793492390211391e-07,5.068535758203031e-07,0.000493142914004668,9.501789864233916e-05,2.2188331010668265e-07,9.644305253325304e-08,4.330031799428879e-08,5.688747436579775e-07,2.063587214040359e-05,2.2681543940007226e-07,3.402578193893933e-08,1.4080458308159834e-08,7.664917560078722e-05,2.4178116325367875e-06,0.0549230079401196,3.936976291688592e-07,1.7460895890224083e-05,2.1896376020849963e-07,8.580426397326403e-07,1.6644856864971708e-07,1.1470746245748336e-08,2.6089995947587983e-06,7.899707000809462e-08,2.24141891764208e-05,0.00017251889184572992,1.1767484068564913e-10,2.6691217048258743e-08,9.339392824530467e-08,2.0008291842749673e-08,1.5889383144305437e-08,2.330674585753449e-06,7.04724291452722e-08,3.8223365740993095e-07,6.177125906373117e-07,5.9501030502474107e-08,2.2273991557739943e-05,4.202462303899212e-06,1.9311531099243373e-09,8.911843983100204e-08,1.0860216128574149e-08,1.1045496649801844e-09,2.7001099797242594e-09,0.00012470942718061125,1.905774192281901e-08,1.912427223428233e-09,2.7411805065706104e-08,1.132946778258391e-07,3.555407915972576e-08,1.8745547556362518e-07,1.1274414160994953e-07,5.531164006518734e-07,1.4627423303071863e-05,1.2813586967870702e-06,2.3428889896155713e-05,1.3849405699588873e-07,4.6220281359668917e-07,1.4169038997283891e-08,7.880363252960665e-08,1.5603589906161587e-05,1.6249877362131103e-07,2.301083460605794e-06,1.1421694730681344e-07,1.870567341852128e-07,2.4530215057577338e-05,4.717240113880727e-09,3.188231114593897e-08,1.0576206816700296e-05,3.993101734984808e-07,6.526142849417971e-07,1.4257830661789662e-06,5.296956738883698e-08,7.739059259267865e-07,4.2009376270331225e-07,3.5460515083357826e-08,1.0714907306815975e-06,0.25626659646231514,0.0007344008884493709,2.6038979378234416e-06,7.534890683165158e-08,0.0036493762314700777,2.3401172561917958e-07,6.027625097242424e-07,5.799657135868289e-09,1.7909893254214778e-07,3.286091851627034e-08,0.00010711506120490334,1.4152887589643952e-07,0.002844703343339974,7.564959109741056e-07,1.6749669048831752e-08,7.769553862698266e-07,5.021759544595251e-06,1.0361683287907977e-07
2020-10-30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
