method,date,turnover
A_no_kappa,2020-01-31,0.0
A_no_kappa,2020-02-28,0.0
A_no_kappa,2020-03-31,1.8237432538253795
A_no_kappa,2020-04-30,1.392537331372195
A_no_kappa,2020-05-29,1.9388466510422222
A_no_kappa,2020-06-30,0.0
A_no_kappa,2020-07-31,0.0
A_no_kappa,2020-08-31,1.8649521386852075
A_no_kappa,2020-09-30,0.5220332282669956
A_no_kappa,2020-10-30,0.24596958553272893
A_no_kappa,2020-11-30,1.828875081604414
A_no_kappa,2020-12-31,0.0
A_no_kappa,2021-01-29,0.0
A_no_kappa,2021-02-26,0.0
A_no_kappa,2021-03-31,0.0
A_no_kappa,2021-04-30,0.0
A_no_kappa,2021-05-28,0.0
A_no_kappa,2021-06-30,0.0
A_no_kappa,2021-07-30,0.0
A_no_kappa,2021-08-31,0.0
A_no_kappa,2021-09-30,0.0
A_no_kappa,2021-10-29,0.0
A_no_kappa,2021-11-30,0.0
A_no_kappa,2021-12-31,0.0
A_no_kappa,2022-01-31,0.0
A_no_kappa,2022-02-28,0.0
A_no_kappa,2022-03-31,0.0
A_no_kappa,2022-04-29,0.9976678184415197
A_no_kappa,2022-05-31,0.9976678184415197
A_no_kappa,2022-06-30,0.0
A_no_kappa,2022-07-29,0.0
A_no_kappa,2022-08-31,0.0
A_no_kappa,2022-09-30,0.0
A_no_kappa,2022-10-31,0.0
A_no_kappa,2022-11-30,0.0
A_no_kappa,2022-12-30,0.0
A_no_kappa,2023-01-31,0.0
A_no_kappa,2023-02-28,0.0
A_no_kappa,2023-03-31,0.0
A_no_kappa,2023-04-28,0.0
A_no_kappa,2023-05-31,0.0
A_no_kappa,2023-06-30,0.0
A_no_kappa,2023-07-31,0.0
A_no_kappa,2023-08-31,0.0
A_no_kappa,2023-09-29,0.0
A_no_kappa,2023-10-31,0.0
A_no_kappa,2023-11-30,0.0
A_no_kappa,2023-12-29,0.0
A_no_kappa,2024-01-31,0.0
A_no_kappa,2024-02-29,0.0
A_no_kappa,2024-03-28,0.0
A_no_kappa,2024-04-30,0.0
A_no_kappa,2024-05-31,0.0
A_no_kappa,2024-06-28,1.1428984228941077
A_no_kappa,2024-07-31,1.1428984228941077
A_no_kappa,2024-08-30,1.2158444837869438
A_no_kappa,2024-09-30,1.2158444837869438
A_no_kappa,2024-10-31,0.0
A_no_kappa,2024-11-29,0.0
A_no_kappa,2024-12-31,0.0
B_fixed_kappa,2020-01-31,0.0
B_fixed_kappa,2020-02-28,1.547938102852962
B_fixed_kappa,2020-03-31,1.5128933241451539
B_fixed_kappa,2020-04-30,1.8842547106358658
B_fixed_kappa,2020-05-29,1.8870176405072816
B_fixed_kappa,2020-06-30,1.8870176405072816
B_fixed_kappa,2020-07-31,1.8529514437244199
B_fixed_kappa,2020-08-31,0.05203228375802568
