date,kappa,turnover,CSCO,VZ,COF,EW,IBM,CAT,MO,AAPL,MSFT,AMZN,JNJ,UNH,XOM,JPM,V,PG,MA,HD,CVX,MRK,KO,WMT,MCD,ABT,ADBE,NKE,DIS,WFC,CMCSA,QCOM,AMGN,UPS,BA,GE,SBUX,GS,MS,T,CI,SO,DUK,USB,CL,MMM,SLB,F,MET,AIG,COP,TGT,AXP,C,BAC,INTC,NSC,FDX,ALL,PEP,PFE,ACN,DHR,BLK,INTU,LOW,DE,GILD,TJX,MMC,CB,SYK,PGR,EOG,TRV,BIIB,ADSK,CRM,LMT,NVDA,APD,SHW,EMR,ITW,BDX,KMB,YUM,ROST,COST,ISRG,ICE,VLO,PLD,PNC,REGN,PM,DG,NEE,GM,SCHW,AON,ADP
2020-01-31,2.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-02-28,2.0,1.547938102852962,0.00013843331192780334,0.20298618261399454,0.00014037452757240394,0.0023893842901324324,0.00022355545769422677,0.0005220057091826,0.0013099175510522059,5.055648190177807e-05,0.00016881565183521444,0.00035284664424215195,0.013183044984528004,0.0003649473995635409,0.00018035320549278805,0.00028401441507579174,0.0001368684377511989,0.001726149550663525,9.118385135612377e-05,0.0011667775861224916,0.0006889030123199116,0.010802858242682086,0.013931040257202086,0.01426419363473458,0.022319692264595528,0.00045560508027109043,0.0003189035181081552,0.0004687384993449527,0.00035090138031026167,0.0005060626204619686,0.0011121860507511425,0.00018091951103388758,0.0004230220341694706,0.0004980849313748753,0.00030795687568214503,0.00017653354926511395,0.003435948525064761,0.00023537758862712227,0.00020993569177260067,0.011682626322277052,9.797569407494735e-05,0.024693642705869268,0.0648195919592478,0.00024430288633814395,0.0055045782403238255,0.0012375255411061702,2.0765328423318382e-05,0.0007417677790937885,0.0001038072437021663,0.001026605168317985,7.98255077494613e-05,0.0017072278683929528,0.00011834892278790962,5.959458794425113e-05,7.000714691639802e-05,0.00016344858729473345,0.0009104108545216143,7.477928838037506e-05,0.0005942113129652648,0.010370014294296888,0.0027951637308484298,0.00036299288769774953,0.0005460906141682701,8.177591897350944e-05,0.0015591544939286286,0.0005379798041213943,0.00012881517128305909,0.013339718311265493,0.00019393608630390488,0.0005714488335890725,0.0010521201978382685,0.0005060780803642322,0.0009197585528832673,5.8030413980070315e-05,0.0026947081087713314,0.0007466107988762304,0.00033311498232823207,0.009299943584506152,0.0013469547913946825,2.0673731008721407e-05,0.0005503298299760274,0.0012079649440381913,0.00029670472903569267,0.000342246046410007,0.0008419819916590364,0.03104294855117751,0.002088897638857093,0.00019013035612427723,0.0008214590793649196,0.00017339857896492508,0.013543403430603793,1.986484951720309e-05,0.00048644898016475703,9.367825223218323e-05,0.06951957272175158,0.0018263278840578115,0.1741675749470486,0.24330294618520626,0.0002447089097442752,0.00042484433627699585,0.0009322717038678498,0.00036389478190554907
2020-03-31,2.0,1.5128933241451539,2.058152172264096e-05,0.31960836718791263,8.373582230731886e-09,2.644967567609557e-05,4.903769446930704e-06,5.878116935025811e-06,3.388886221505358e-05,3.418681736463066e-06,2.7225898590865254e-06,0.004549687081628579,0.0002822219069019759,1.5509951175943059e-06,6.401818886141518e-07,4.058255572893977e-07,4.393120041313912e-06,2.7686585393051256e-05,2.039302852622833e-06,1.4392031422206113e-07,9.771999548621588e-08,0.0012540397074895012,1.904134938610295e-05,0.32036890569196774,3.1973142760166382e-06,5.889997172245607e-05,1.4955276359628025e-06,8.731935449470655e-06,1.2431526654510213e-06,1.0218878978706523e-07,1.676352679125331e-05,4.3958586444315166e-07,5.90825480454483e-05,0.0015794700771307097,4.2190154214089867e-10,3.975398661744339e-07,1.1461899846691444e-06,1.0834217433659631e-07,1.1753770916238275e-07,1.9277146962934855e-05,6.768769358611821e-07,3.3087425539026e-06,2.5246560501016335e-06,8.772086788400877e-07,3.378781646588848e-05,6.183899975333929e-05,1.464985671478119e-08,1.471942335550164e-06,7.452083631636741e-08,2.94166820337957e-09,1.209044515079078e-08,0.00018859082838573713,9.177283863094778e-08,1.2583641908840844e-08,2.7620719374253385e-07,1.0123286187214125e-06,2.2886635219177764e-07,4.940445262661116e-06,7.884828798104805e-07,2.87010037558986e-06,0.00022152514930533074,9.961700592607155e-06,0.0002360167141016747,7.039008514379047e-07,3.291552244725583e-06,4.034353373149601e-08,3.732521585142563e-07,0.15503735743587344,6.115803366297595e-07,1.562393441312855e-05,1.4777300323237355e-06,3.927371426483285e-06,0.00025384576537139863,4.355312767121682e-08,3.8049214976775924e-07,4.4578523177973314e-05,5.422411234733864e-06,8.918119713927055e-06,9.165479131045465e-06,3.6468412767384414e-07,7.800836928884833e-06,3.152384941538107e-06,2.255478170215789e-07,4.299737996978722e-06,0.1871127250021792,0.0004920246504664252,6.367228866100861e-06,3.5794533870112403e-07,0.0012946168025202449,2.8645972708074643e-06,6.433579249951394e-06,7.735165740392737e-08,1.8335429775845887e-06,3.4349923097671246e-07,0.00016434838899709943,4.847341301126248e-07,0.006702982753665481,4.114213595106358e-06,1.3209724969699856e-07,9.66465807836495e-06,5.970088333406407e-05,8.726348851866179e-07
2020-04-30,2.0,1.8842547106358658,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-05-29,2.0,1.8870176405072816,4.3563881344005965e-06,0.3326065979251613,2.0888232474656808e-09,3.843510969407434e-06,1.0806264394746495e-06,1.7448667927859352e-06,1.4722271456065502e-05,9.848301977739554e-07,9.084752268352201e-07,0.0016047740564916239,0.00016455426684768492,5.420617138469332e-07,5.148710183952864e-07,9.434509486232969e-08,8.998376286520376e-07,1.1792975880277078e-05,5.334972786144895e-07,6.899484464798965e-08,2.2084295940253167e-08,0.00016431353618992628,4.685859122931976e-06,0.303225536256232,6.039936134882525e-07,2.0955705522914943e-05,3.846186563242467e-07,2.0474904275022215e-06,7.989523627056533e-07,3.107289013519265e-08,3.253047356094169e-06,2.7837523207009044e-07,1.93536277521499e-05,0.0015409396994553006,3.018960772966435e-10,3.687418528964827e-08,3.5306189352305433e-07,4.852634436824306e-08,3.234242378739121e-08,5.068878688202132e-06,3.0050804947921503e-07,5.853337699919812e-07,7.720818406545379e-07,1.5437234905695028e-07,1.5409778136635623e-05,1.865340693229777e-05,4.747487956639689e-09,1.8932295204779226e-07,2.8924353977685137e-08,1.2124514114237643e-09,6.3776900353954535e-09,0.0001142299283426483,2.062859327897156e-08,4.750056640989366e-09,9.4318026940738e-08,2.989552469925405e-07,1.2764775950817962e-07,7.187542527948919e-07,1.8715502269357298e-07,1.5222911902997138e-06,7.736984782700066e-05,2.2063922896906123e-06,1.866957366344089e-05,3.291892490577594e-07,8.116300107745591e-07,1.6576953025082927e-08,2.1156056633951657e-07,0.14811231195426106,2.7433669470459634e-07,2.08005042438387e-06,1.9826864072852515e-07,2.9781604083093163e-07,7.238429054642086e-05,1.4087179641636044e-08,7.557763318320948e-08,6.358589356977415e-06,4.113597868974015e-07,9.825078443835708e-07,3.4260059844248006e-06,8.123547576687049e-08,1.2687409900273685e-06,5.780066927360525e-07,9.188792514615576e-08,1.7482869440946398e-06,0.19956437411798647,0.0004502240644507998,4.122425972453717e-06,9.047341935682708e-08,0.006846351018338798,4.2508036282241e-07,1.2232095228070032e-06,1.360653676093543e-08,2.3815638912627013e-07,6.83074478017319e-08,3.605967323858332e-05,3.3149102734302185e-07,0.005224898527689648,5.828896757277026e-07,2.237727600775837e-08,2.117200740447564e-06,6.2860014133247605e-06,3.029164850418873e-07
2020-06-30,2.0,1.8870176405072816,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-07-31,2.0,1.8529514437244199,5.553792126988465e-06,0.36969312511412517,2.1550837875791618e-08,9.36710873403204e-06,1.5959508778305366e-06,1.8247667211104046e-06,1.80596644185154e-05,2.889901779120706e-06,2.5960762101276346e-06,0.13750090144574587,9.05005681466028e-05,1.300767271485901e-06,5.763706910062384e-07,2.930280200056337e-07,2.975671365355938e-06,3.317128792394727e-05,1.244970445203042e-06,2.44893743097385e-07,1.0806827076966924e-07,0.00026134454130238513,8.242338515150925e-06,0.15079658133242213,2.2849112305447775e-06,2.7925069623722072e-05,1.372643164217095e-06,3.3117134670090593e-06,9.470820362580894e-07,8.142151444019344e-08,1.2406331634620562e-05,5.146245124897213e-07,5.804515758163907e-05,0.0007104000441870536,1.1011522868078247e-09,1.8734831894933672e-07,5.632354167579397e-07,1.4416246486890186e-07,1.1454600778269186e-07,7.34210610468426e-06,4.25743863278909e-07,1.6704132341020758e-06,2.854643805817835e-06,3.63516924940578e-07,5.40998439874123e-05,1.1606064086200756e-05,1.5330440026578945e-08,5.614467914994616e-07,7.647962396291937e-08,9.820867921825366e-09,2.1414364656840585e-08,0.00023305411152945666,1.477655454410446e-07,1.5011916358757253e-08,1.7984380082296336e-07,6.849175445183133e-07,2.3890700818924634e-07,9.60682024911153e-07,7.626971302431519e-07,2.4941828659415468e-06,3.492582323608393e-05,5.399611394856939e-06,8.867324404121192e-05,8.15791816256701e-07,2.4142831270706805e-06,1.1215586886028393e-07,5.238661553195371e-07,0.06621917120862832,9.745295081163743e-07,1.3334295484388972e-05,7.131940119360937e-07,1.0354841991626954e-06,0.0001052909459498752,3.483764527431207e-08,2.2137786039117494e-07,3.197249213702562e-05,2.4765541638211226e-06,3.595164129300312e-06,4.043736476735207e-06,3.6325205859918526e-07,3.5582243487153336e-06,2.2783238328560385e-06,2.461903799744952e-07,4.8515437337155414e-06,0.2439178528846795,0.0010805123388674617,1.0909965346459847e-05,5.331127869862872e-07,0.017662655982684607,1.3360692591858924e-06,3.274055448068159e-06,4.273193768339483e-08,1.1016532911335846e-06,2.2242744979685185e-07,0.0005075357352290233,9.34999150913139e-07,0.010685433893924283,3.506155206443507e-06,1.2865126266555024e-07,3.3397551064873664e-06,2.461976838891499e-05,6.301443256508693e-07
2020-08-31,2.0,0.05203228375802568,8.899083440018821e-07,0.3694148640795222,6.559053979614883e-10,1.718980557047998e-06,1.3879479014042514e-07,1.8697496903074773e-07,5.007410532044874e-06,3.7461937200956115e-07,2.685453709326577e-07,0.1546835437658648,4.547558964715872e-05,1.1031725517612064e-07,3.7787389133273674e-08,1.6343867796296876e-08,3.131293823895198e-07,1.2990040165133918e-05,1.0060794191876074e-07,1.2665237584295635e-08,4.959208158235118e-09,7.03129456842058e-05,1.563142665230612e-06,0.15021848507638194,2.2046018377204851e-07,1.0363519202222633e-05,1.1024300115694357e-07,4.358054858586329e-07,6.687748931110419e-08,3.1599254435372503e-09,2.12505061553551e-06,3.2101190353887075e-08,2.0172743306020558e-05,0.00020428572110701531,1.767367127579521e-11,9.463580219775102e-09,3.5203253638853457e-08,6.5222965382464375e-09,4.982045669284102e-09,1.3685706469166694e-06,2.5978323702053233e-08,1.822342775529999e-07,3.700375299836306e-07,2.1168324175488626e-08,1.8603405077663264e-05,2.259039806614546e-06,4.351595201850024e-10,3.7131975353510226e-08,2.8500114480175006e-09,2.4520316595418e-10,6.588416823696113e-10,0.00011634174821950331,6.989068082628793e-09,4.078035081855015e-10,8.513824513637056e-09,4.772826918393615e-08,1.1840518073846703e-08,6.917173295416493e-08,5.4470004235630595e-08,2.9550143737824245e-07,9.436246205273172e-06,7.77921777457869e-07,2.485054029353138e-05,5.732336629644302e-08,2.4617219942729013e-07,4.855508037119122e-09,3.272293456429062e-08,0.07048439919155294,7.376173218007904e-08,1.939050182901141e-06,5.2221723150480343e-08,7.940483061099116e-08,2.67370047084377e-05,1.1584475046775776e-09,1.1841389511884953e-08,8.805032902201567e-06,2.382434011878014e-07,3.811409917537992e-07,6.327671984383934e-07,2.1079343153081564e-08,4.2293688253445886e-07,2.183415090862986e-07,1.298111922353383e-08,7.098732384434531e-07,0.24848612446064886,0.00055603589122106,1.8633875419323682e-06,3.5242601334280906e-08,0.0015846651915064802,1.1130224507616752e-07,3.441168636460261e-07,1.538569639607623e-09,8.638934098024736e-08,1.1547540974288096e-08,0.000187522167479693,6.839495138466105e-08,0.0037831511247977925,4.851468115481033e-07,6.050429027440528e-09,4.200950231296591e-07,4.886687677437443e-06,4.311484720552051e-08
2020-09-30,2.0,0.03903370562131185,2.5460733171786534e-06,0.369694517714988,2.8069654799314143e-09,5.265599886656895e-06,4.0744979437619084e-07,5.264216092136959e-07,1.7302134504652497e-05,1.103132440162587e-06,8.024232256556297e-07,0.14566383065497002,0.00015212910114309358,3.4073790806172393e-07,1.1862634247740008e-07,5.490380155206527e-08,9.46681416074818e-07,4.532412160828404e-05,2.964060192647284e-07,4.155347796578149e-08,1.934910338003984e-08,0.00021971607921928752,4.673534905481379e-06,0.16761064321574515,6.838851137355064e-07,3.9327550249574425e-05,3.294585745504933e-07,1.2997162249105537e-06,1.9207460792316867e-07,1.0948784856490237e-08,6.015282946782733e-06,1.0058523590599568e-07,6.778878682149936e-05,0.0005588772209244558,1.0559337291187038e-10,3.306017631553722e-08,1.0709540303042485e-07,2.214824203131352e-08,1.7445206817777777e-08,4.1188711767276455e-06,8.326655325321771e-08,5.236664714665043e-07,1.0945454822194754e-06,6.767922477536356e-08,6.266331509838802e-05,6.520826324945933e-06,1.9409245039869507e-09,1.202384471503863e-07,9.508389361605772e-09,1.1054039501403243e-09,2.8578297438406032e-09,0.0003634388482962136,2.488074900036378e-08,1.7328484340595436e-09,2.7635554710501037e-08,1.500256438646697e-07,3.692304041708772e-08,2.0414335894166808e-07,1.7781149607035895e-07,8.247501197930425e-07,2.6615722788591486e-05,2.292838794322378e-06,7.438983910504746e-05,1.6626866931517152e-07,7.295599726626176e-07,1.7130637828248033e-08,1.0167304290490262e-07,0.06283149381037764,2.1401127727593874e-07,5.978762007861113e-06,1.7381493439488715e-07,2.3672403946284414e-07,7.58649561241378e-05,4.615694834358132e-09,4.281657763569167e-08,2.929152784517873e-05,7.401756329987292e-07,1.1399411576184581e-06,1.825461999887811e-06,6.805606796941163e-08,1.2921334666616873e-06,6.420699966062014e-07,4.387525756743762e-08,2.1247580838872205e-06,0.24805544815367636,0.0007614913251228358,5.43306385311615e-06,1.1726877075129522e-07,0.0011313276534333165,3.383588210609946e-07,1.0579245342478098e-06,6.1959587707695165e-09,2.650141191425978e-07,3.907730825746411e-08,0.000612110552574928,2.0774249648089997e-07,0.0018229306512575563,1.4505906610833021e-06,2.2792835258114128e-08,1.2380430687729728e-06,1.538056538448987e-05,1.3582364009635683e-07
2020-10-30,2.0,0.2514903856346262,6.82177572932216e-05,0.2980872566217277,3.4052314878713937e-07,0.00010736431949538118,1.7150016107265105e-05,2.166488702173936e-05,0.00024122901663831844,3.554390190257248e-05,2.7531958565004175e-05,0.09943804561862873,0.0012650892128483829,1.4357974911006777e-05,6.651155688024982e-06,3.57502425601766e-06,3.054629670252136e-05,0.0005107591170716287,1.372585566894224e-05,3.0167733684644176e-06,1.4512029336876062e-06,0.00144683316070765,9.835948947211383e-05,0.21812149480215293,2.346878397479188e-05,0.0004248995077437284,1.43379665639301e-05,3.940510530534751e-05,1.0347010219100183e-05,1.1191125015830108e-06,0.0001183524537406508,5.912522994641477e-06,0.0006417937002969884,0.0028463351890277246,2.3775471582134035e-08,2.399054394187558e-06,6.411007144438715e-06,1.8719333807473528e-06,1.5311714955128845e-06,9.179254474016838e-05,5.076307410737059e-06,2.1477069889313244e-05,3.518809118767039e-05,4.402529120123534e-06,0.0006321884971982971,0.0001332070270499766,2.5125615637480606e-07,6.464280223435543e-06,1.0595577081332384e-06,1.6780117520917945e-07,3.3959562428008754e-07,0.0026677275455874784,1.9247689814633344e-06,2.454822994530199e-07,2.3063489147410344e-06,7.778703150261799e-06,2.953535064288309e-06,1.0457364023384234e-05,8.370043146555218e-06,3.0341351888622986e-05,0.0003483290789145717,5.929179054558453e-05,0.0006682719101494632,9.368551803903005e-06,2.5937818346244202e-05,1.497470179598383e-06,6.025117831262583e-06,0.08620497894942479,1.1192429536952728e-05,0.00010688255748940207,8.128871721016757e-06,1.1622416807119692e-05,0.0006558956273470966,5.219649832455933e-07,2.7537143166931985e-06,0.0003430753013648391,2.4303565732092887e-05,3.45763732072328e-05,5.408346277374773e-05,4.350085281930048e-06,3.783525442426017e-05,2.4084155441574948e-05,3.039928906805849e-06,5.49538117859822e-05,0.24014330146596483,0.007107386249927356,0.00011169437172388525,6.158445577733616e-06,0.019350161490900547,1.4502734434157382e-05,3.213785176697805e-05,6.344111489874763e-07,1.1942137476491466e-05,2.801799608993804e-06,0.0035527440959174225,1.023065020863852e-05,0.013299376903330226,4.2708068758146676e-05,1.6928009410082154e-06,3.768886111787571e-05,0.00020440918151475634,7.295590261476923e-06
