date,kappa,turnover,CSCO,VZ,COF,EW,IBM,CAT,MO,AAPL,MSFT,AMZN,JNJ,UNH,XOM,JPM,V,PG,MA,HD,CVX,MRK,KO,WMT,MCD,ABT,ADBE,NKE,DIS,WFC,CMCSA,QCOM,AMGN,UPS,BA,GE,SBUX,GS,MS,T,CI,SO,DUK,USB,CL,MMM,SLB,F,MET,AIG,COP,TGT,AXP,C,BAC,INTC,NSC,FDX,ALL,PEP,PFE,ACN,DHR,BLK,INTU,LOW,DE,GILD,TJX,MMC,CB,SYK,PGR,EOG,TRV,BIIB,ADSK,CRM,LMT,NVDA,APD,SHW,EMR,ITW,BDX,KMB,YUM,ROST,COST,ISRG,ICE,VLO,PLD,PNC,REGN,PM,DG,NEE,GM,SCHW,AON,ADP
2020-01-31,1.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-02-28,1.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-03-31,1.0,1.8237432538253795,5.636236408892671e-05,0.578479053207391,1.428613043535769e-07,0.0001669626837377834,3.502553768620416e-05,2.7481363488667334e-05,8.546094460024882e-05,1.544292656751707e-05,2.5709756135958565e-05,0.06668230189291392,0.0007863870147186071,3.968665973615383e-06,2.795449786049166e-06,1.6908864235003027e-06,7.176885720108931e-06,0.000297182569781249,4.865103218527042e-06,1.762912649918737e-05,5.44461849086391e-07,0.003798861661359568,0.00013689201811653117,0.0973138650818256,2.5858130952888218e-05,0.00011422261000028143,2.882047433297283e-05,3.392446129309752e-05,6.361874806343517e-06,1.2381725177558401e-06,0.00013789405052304447,1.0506806579254154e-05,0.0006051061534838729,0.0038163817466654523,3.4330322547286715e-08,1.0827405983332568e-06,1.1516558644799616e-05,1.375139669168201e-06,6.565035599622015e-07,8.920584614321604e-05,1.096636025178135e-06,5.2635129444647485e-05,3.1135825978512196e-05,2.100756812244876e-06,0.0004008122352558733,0.0002401556950045254,2.987355331489249e-08,6.255591133908205e-06,4.584218955189887e-07,1.118761740811999e-07,8.333465962595207e-08,0.0018293788880344563,4.755106010693825e-07,9.329313196348842e-08,6.081526646687272e-07,4.307325767790433e-05,2.6558982635845794e-06,2.613416693768581e-05,1.3439245342717418e-05,8.631759553556363e-05,0.0016161785241654483,3.0031116180135534e-05,0.0010150580641242427,1.5520625670582767e-06,2.901382096337325e-05,2.0162549338532107e-06,7.84159376824356e-06,0.023555611977371157,6.13722714605822e-06,9.01240622512552e-05,1.0831153235929528e-05,7.966907857233959e-06,0.0018890552926743175,4.795814306809875e-07,2.2418980021274498e-05,0.00026617135495281166,9.998206939480581e-06,0.00011266697158562368,5.3387893100988525e-05,5.086209164312532e-06,3.210063291222865e-05,3.252173971510558e-05,5.326581404710522e-07,9.358190194029389e-06,0.0033461019176335804,0.0016506397735909712,2.366537421178249e-05,3.1623649204579367e-06,0.004122043390799819,1.1400868810815621e-05,5.467766469141226e-05,1.847634526105643e-07,3.352430077092509e-05,7.408476533108063e-07,0.027525408949120225,1.4214873545486842e-05,0.1783153858040679,5.927381921122936e-05,1.2494083874900163e-06,1.61700206759876e-05,0.00043982927551824237,9.146660136434684e-06
2020-04-30,1.0,1.392537331372195,7.83092792961238e-12,0.0005629714452944417,1.6355313866447607e-20,2.7763632825630355e-12,5.712150873323309e-13,2.3485516040481275e-13,1.453276698469124e-11,4.611548758361142e-14,2.399214763610978e-13,9.987554164811744e-06,6.483545788577864e-09,1.6625789445655564e-15,2.8482517985148023e-15,8.796174405833909e-17,9.299165859298696e-15,1.5069945000665762e-09,3.313496022460066e-15,5.407494369018205e-14,3.99289283146048e-18,9.525104594076154e-09,7.2323776489627815e-12,0.31893497731176534,8.639302498490595e-14,5.7199098964713545e-11,1.6485505143590871e-13,4.789283597504098e-13,1.5649049682309326e-14,2.084836129009035e-17,9.068442388625409e-12,3.7068277606692154e-14,4.5856442054299796e-09,1.0319505300296489e-07,1.2693059184769334e-22,3.952100911511244e-18,1.3755710722229613e-14,4.4776711840553536e-17,3.6889655061962976e-18,7.013733674639299e-12,1.600360579201862e-16,3.2859440445443867e-13,2.7050321505308473e-13,1.152270060984129e-16,1.5370752590544161e-09,6.132250027038731e-10,1.2473037392224078e-21,9.54990724666982e-16,8.96043278017094e-19,4.9183353041427965e-21,3.438257930761377e-20,1.920466569303923e-06,9.567593001487206e-19,1.2378649301095114e-20,5.4234983589974145e-18,7.637473351704664e-13,6.559247427403816e-16,2.4148233786084516e-13,1.7487983080027913e-14,1.2889286806807535e-11,1.8896336998924266e-08,2.278485441544487e-13,7.385749734685061e-10,6.019792890109547e-17,1.2296098122714565e-13,1.0053913939957447e-16,1.448809738010116e-14,1.1323188490072713e-07,2.2063781442324175e-15,4.275561351675657e-12,8.479318522112458e-15,4.0563137545591663e-16,3.149723196419636e-08,7.255288618462446e-18,1.7403912559579212e-13,1.5923701221955395e-11,1.0614895913537613e-15,2.4637510263990254e-12,2.2213308453091e-11,1.1694232482874313e-15,3.6224260644319344e-13,1.0999395929551697e-13,6.624459595312499e-18,2.277460198932431e-14,7.777130227527092e-08,1.757668896821222e-08,3.2894316159683077e-13,3.4447906193108234e-16,1.4076235647375237e-06,9.47066561333637e-15,5.7336986872940584e-12,6.198270624138246e-20,1.5032587960780765e-13,4.865136576883903e-18,0.2673139170981785,3.365709313664874e-14,0.4131744311111674,1.4222653192617593e-13,2.5883349070571685e-17,3.6173640853792193e-13,5.581083444913826e-11,1.0853358242603472e-14
2020-05-29,1.0,1.9388466510422222,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-06-30,1.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-07-31,1.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2020-08-31,1.0,1.8649521386852075,4.331432256406891e-05,0.5156305381324516,1.0121326642358243e-07,2.5220964129761144e-05,1.648517609427849e-05,1.3280275811504015e-05,6.089853744938988e-05,1.5438408780104127e-05,2.0894055023017206e-05,0.12285188444027884,0.0004683291300967021,4.339674897545193e-06,3.714385902653381e-06,1.2568377202724194e-06,8.588146894978706e-06,0.00042692611179565915,5.482898440238715e-06,1.0668122153375936e-05,4.989201010059978e-07,0.00044073128955884086,3.8175254966383e-05,0.15174098489729804,1.3152166721297906e-05,0.00012140223345395808,2.1773524731126524e-05,2.140947946355944e-05,7.047492439955155e-06,6.16243605772155e-07,5.933485596105588e-05,8.573356860184866e-06,0.0005389393272070225,0.001540945211446505,1.0482550700253371e-08,4.930970435496478e-07,5.271168062842519e-06,8.722327739089114e-07,4.866114876067797e-07,3.851223059416564e-05,1.818698001676753e-06,1.85169568059554e-05,2.1725777556639843e-05,1.3232157169184693e-06,0.000482591329446836,0.00019616831728166083,4.10171829938801e-08,1.9386504833797467e-06,2.8844226605574114e-07,5.259785411948692e-08,1.2277822632235294e-07,0.001024413168763175,4.0370459594752005e-07,5.619397807963634e-08,4.989992438001473e-07,2.5838109488655534e-05,2.277797941109793e-06,1.838517626717191e-05,6.471997411803966e-06,5.68264716735328e-05,0.0004498692550918916,1.8134818324899782e-05,0.0003119044211157759,1.7000102106947045e-06,1.4745552810981267e-05,1.709238204998455e-06,7.84082554037599e-06,0.004118395327628351,5.299418109260157e-06,4.319392667659184e-05,4.967205825644804e-06,1.8748686644414302e-06,0.0008717771974634999,7.245561800164848e-07,1.032556670364164e-05,8.004244672254066e-05,3.1077850671351397e-06,3.0493967242502693e-05,7.226162559324637e-05,4.2869381862154596e-06,2.1940483266092346e-05,1.2735925513840294e-05,6.123976058029433e-07,1.0266888295448821e-05,0.055980645512810345,0.002237213545673251,2.973565811664943e-05,2.24944034556484e-06,0.0004414263511232725,7.19988103499087e-06,4.133671679790499e-05,1.1190520822797828e-07,1.7308145322011414e-05,4.65014982241609e-07,0.002665067424640374,9.909966899502946e-06,0.1362720163597647,1.7533179250189588e-05,9.157751146618176e-07,2.7628868906668558e-05,7.975440908045747e-05,4.920888621077613e-06
2020-09-30,1.0,0.5220332282669956,4.903150272579948e-05,0.5747608888296697,5.139381450753444e-08,2.8173384883712157e-05,1.5570743962085708e-05,1.2332829682447233e-05,7.860501963904459e-05,1.2815321844238975e-05,1.7760730807141622e-05,0.061420751757481136,0.0005945671074666134,3.7279878247953483e-06,3.0858821505624343e-06,9.274862679306327e-07,7.782674522248883e-06,0.0006456298112040978,4.758640506453086e-06,8.987362277553682e-06,3.019418116767937e-07,0.0005909556204407647,4.306828877287875e-05,0.0007413647345696194,1.2051927129196324e-05,0.00016376515415880962,1.9612129707570732e-05,2.0723025933768684e-05,5.9338374927829785e-06,4.1428404160280574e-07,7.204217467048279e-05,7.33911275960701e-06,0.0009058966459348731,0.0019771485780404378,3.136841570706971e-09,3.045569041416952e-07,4.447784292383594e-06,6.054481717603156e-07,3.057334627188588e-07,4.7025194816770576e-05,1.4077932038924275e-06,1.8010172843448425e-05,2.2722539361343057e-05,1.0584604275505704e-06,0.0007125707428523993,0.0002723075482346196,1.633725856642773e-08,1.5894325854667799e-06,1.6632471738028e-07,2.1508232129969894e-08,6.046899674272005e-08,0.007789306766860817,2.5737897511616176e-07,2.4481025447313693e-08,3.234735699312152e-07,2.4804465648495865e-05,1.8490975024467161e-06,1.8323320239532883e-05,5.875604489313429e-06,6.700677755124159e-05,0.0006757676437965325,1.7357212893174152e-05,0.00039367208574816385,1.1980256255337774e-06,1.2258570413919519e-05,1.2711692611954162e-06,6.9052323080222756e-06,0.02298897738805493,4.707070390792902e-06,5.143806471748038e-05,4.3073931867850455e-06,1.4866599480907355e-06,0.001193595772809437,4.6336745059467786e-07,9.739999559983214e-06,8.838236667412481e-05,2.1985171567957715e-06,3.406397085384757e-05,9.781873757796883e-05,3.3489315944826574e-06,2.0942854456066076e-05,1.1984985768993932e-05,3.787226049269448e-07,8.90561569495794e-06,0.007900776329504639,0.0017761526351704993,2.671355091448857e-05,1.8757771155801528e-06,0.012433624759914809,6.482765146538357e-06,4.9306360609537414e-05,5.569203229271136e-08,1.746679741713914e-05,3.070741944273015e-07,0.14178963947948464,9.010125480491815e-06,0.15899305431101957,1.6333826126457537e-05,6.196188549730134e-07,3.3745891200176966e-05,9.28179259019411e-05,4.386250105603702e-06
2020-10-30,1.0,0.24596958553272893,2.2046485884534242e-05,0.5747608861310572,6.373566975573304e-09,1.0718577906210972e-05,5.5107421060312755e-06,4.032742950052586e-06,3.8822664092938933e-05,4.7776996298093114e-06,6.74072642795322e-06,0.0632694235057629,0.000340882758783232,9.746072096991704e-07,7.469964137947675e-07,1.9427041247906078e-07,2.334108242281221e-06,0.00036130971966388353,1.2154074691448074e-06,3.1200151612392843e-06,5.036439200500524e-08,0.00039916970250435487,1.669681420072465e-05,0.038285555890417725,3.878751051904255e-06,9.463190162409729e-05,7.464173244641751e-06,7.521896009220367e-06,1.6451478298622563e-06,7.588754879722394e-08,3.1684089894336004e-05,2.4555425699469157e-06,0.0005513003780781227,0.000886224747467827,2.241890974552505e-10,6.035057526371561e-08,1.271894918144962e-06,1.205358297551268e-07,5.418888740788397e-08,2.0566726919956564e-05,3.1287099346066683e-07,6.136901277313885e-06,8.304544179120973e-06,2.3593696267701334e-07,0.00044881611793124614,0.0001509473392280118,1.5021159846669777e-09,3.908517969219297e-07,2.592891573610657e-08,2.2867904618064426e-09,7.493247331084331e-09,0.0033277356249021683,4.20372620614799e-08,2.6992888310689804e-09,5.904988619300819e-08,1.0047015161265354e-05,4.544429404104062e-07,6.054953890571696e-06,1.856440931880806e-06,2.9782655173667198e-05,0.0003142811815917229,6.645003336173264e-06,0.0002363552084152427,2.75388345725903e-07,4.438734854953932e-06,3.176785953039961e-07,2.2159060289918625e-06,0.022031829345714602,1.2951554075181504e-06,2.27672422899281e-05,1.4801472314905622e-06,3.4171122597915124e-07,0.0007738963720826526,7.918823922443111e-08,3.703923418137196e-06,4.002024387343386e-05,5.746833151867155e-07,1.4722121039595285e-05,4.684743604112555e-05,1.0272829716373727e-06,8.014503592699654e-06,4.790216972418898e-06,6.774998304867135e-08,2.926557434986874e-06,0.005467058316857321,0.0016765954108010114,9.567239819777584e-06,4.1620775218358697e-07,0.011989003364330115,1.963750007786878e-06,2.0856288519017374e-05,6.699234466672435e-09,6.459081039722072e-06,5.6536719524051216e-08,0.0315158583916703,3.119001063716128e-06,0.2425849841732543,6.1023852667578056e-06,1.3510995167371437e-07,1.431369730155403e-05,4.745741061165317e-05,1.7445200286734674e-06
