rebalance_date,index_name,n_constituents_raw,n_available,n_used,dropped_tickers,point_in_time_flag,universe_turnover,constituents_at_t,benchmark_ticker
2020-01-31,DJI30,30,29,29,UTX:missing_col,True,0.0,"AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM",DIA
2020-02-28,DJI30,30,29,29,UTX:missing_col,True,0.0,"AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM",DIA
2020-03-31,DJI30,30,29,29,UTX:missing_col,True,0.0,"AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM",DIA
2020-04-30,DJI30,30,29,29,RTX:insufficient(17/252),True,0.0,"AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM",DIA
2020-05-29,DJI30,30,29,29,RTX:insufficient(37/252),True,0.0,"AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM",DIA
2020-06-30,DJI30,30,29,29,RTX:insufficient(59/252),True,0.0,"AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM",DIA
2020-07-31,DJI30,30,29,29,RTX:insufficient(81/252),True,0.0,"AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM",DIA
2020-08-31,DJI30,30,29,29,HON:insufficient(0/252),True,0.12903225806451613,"AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT",DIA
2020-09-30,DJI30,30,29,29,HON:insufficient(0/252),True,0.0,"AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT",DIA
2020-10-30,DJI30,30,29,29,HON:insufficient(0/252),True,0.0,"AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT",DIA
2020-11-30,DJI30,30,29,29,HON:insufficient(0/252),True,0.0,"AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT",DIA
2020-12-31,DJI30,30,29,29,HON:insufficient(0/252),True,0.0,"AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT",DIA
