date,kappa,turnover,n_used,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM,AMGN,CRM,HON,AMZN,NVDA,SHW
2020-01-31,1.4669744676080234,1.5066322842946842,29,3.289912237868914e-05,0.0001072417939070396,0.0002546481508073954,8.942412460256603e-05,2.8289600006842428e-05,0.0036331556113201077,0.009127306586706678,5.939417233171809e-05,2.650838671209687e-05,0.0008854776677769722,9.526387723329023e-05,0.00028391820463483623,0.15678564044769983,0.00028453249740420197,0.16057175619527822,0.22360060674960683,0.00044297399687843645,0.016984584602263958,8.504933230545941e-05,0.00013481625553405033,0.0013404650107198936,0.0018897565779138828,0.0030764626261427053,0.06834842913546173,0.00015202407974573105,0.14385127548445645,2.91374369853856e-05,0.20705498585897694,0.0007439764142081198,,,,,,
2020-02-28,1.7488865984388164,0.22151130908661226,29,2.651157628844926e-08,2.923119461879195e-07,3.3899478253152547e-06,7.691458668404354e-06,4.860764466234267e-07,8.974965338524018e-06,1.4990084644843533e-05,2.8068813411767152e-08,2.4941833568859617e-06,0.00010919846784162078,6.5658820688615865e-06,7.022088213178754e-07,0.1623851265032155,4.694206536464456e-06,0.14133082960546195,0.22361618373038655,0.0002862732048358924,0.013883148612113589,1.463443321724519e-06,1.483247678837616e-05,0.0008861255856163596,0.00019573452008066298,0.0011669287462390235,2.398785418134237e-05,6.637729824696347e-07,0.15632749626683573,1.2410604396197207e-06,0.2997193565836083,1.0736600080221041e-06,,,,,,
2020-03-31,1.7491331477890961,1.0659795360524384,29,2.394465424545494e-06,4.7919647714722945e-08,2.2201316482549788e-10,6.728136742272161e-06,4.2423931655387654e-05,5.421839500483119e-08,6.446197186321313e-07,1.3425288171611373e-08,5.362602657941765e-08,8.392630823776606e-08,4.684653510862137e-06,6.266482251594294e-07,0.0004710683906396535,2.5041485481908955e-07,2.0526870917490208e-05,4.117603479053049e-06,0.000258036405960836,0.009633469068728156,1.8293512175289665e-06,1.4393274035502033e-05,0.0004950311491776319,4.778203249873697e-05,4.3457846915772613e-07,1.1534148124741568e-06,4.787802172454392e-06,0.6892502474531443,1.9462154207442782e-05,0.2997193175528502,3.36689878871783e-07,,,,,,
2020-04-30,1.7140347518628933,0.3673984498579858,29,1.8666355128716782e-05,1.4838884636399305e-06,4.834439979470997e-08,3.33246081998226e-05,8.01440376158473e-05,1.943344057269367e-06,1.4723442973284116e-05,6.223056596264427e-07,2.0858055578108724e-06,3.065982527692446e-06,2.931033200924755e-05,1.0304003785138613e-05,0.0008406669814113956,4.650169803589348e-06,8.020225810750121e-05,1.599295219631996e-05,0.0002792914417664813,0.1904951985443387,1.7273965013406206e-05,4.0356978524549195e-05,0.0018098845114768172,0.00012597527311152367,5.7731915382208525e-06,1.4398010851312621e-05,2.4380303137496272e-05,0.5617233292011605,0.0007720693681747267,0.24354701087584096,7.82352316854449e-06,,,,,,
2020-05-29,1.565504236378297,0.00842839056863968,29,3.357919551676841e-09,6.626736377157981e-11,1.6004469290116169e-13,6.877400044203579e-09,1.831410856091105e-08,9.36450911156634e-11,3.5121683731767754e-09,1.5204601788868136e-11,1.5133681537195548e-10,3.0346607411451714e-10,6.710976451685084e-09,1.614480391083175e-09,1.3051517095803805e-06,3.870863224264405e-10,4.421588972940577e-08,2.174493663181644e-09,9.099796345406791e-08,0.1939301044694644,3.1372200745241326e-09,7.788574236533976e-09,1.8106026935147308e-05,5.9337629474918664e-08,5.560078291217881e-10,2.7157099433742253e-09,4.034084015722073e-09,0.5625026185603547,6.84790180566829e-07,0.24354692345432588,1.1852376265124158e-09,,,,,,
2020-06-30,1.5393300778283472,0.8739464473339795,29,1.4035596596299942e-09,1.4727523953611255e-11,2.080310377169961e-14,1.1986469867192845e-09,6.017329370597254e-09,1.209785115044108e-11,2.5489344515050477e-10,2.78693199967275e-12,1.3116845528072076e-11,3.3096816648351465e-11,7.533893767499455e-10,2.1496168408909608e-10,5.758396950401097e-07,5.5754014539433376e-11,6.274720196661952e-09,1.045625147112695e-09,3.6398961049639265e-08,7.520430190277006e-06,9.275951297078042e-10,2.6560075186607933e-09,1.2777483414034523e-07,5.3723001634360564e-08,4.765435296309117e-11,3.6321894845915664e-10,1.5323241744340691e-09,0.9994758422273444,4.101467013104402e-07,0.0005154105445561015,9.318919519432271e-11,,,,,,
2020-07-31,1.3686219156833197,0.0008066096675771547,29,1.5676071221293026e-08,2.6849945887327674e-10,1.1621853038637912e-12,1.2962574223181682e-08,6.322644177835013e-08,2.4846271240634415e-10,2.9693404398838828e-09,6.79755436428664e-11,2.243400396303734e-10,5.1580732197605e-10,8.797478602620263e-09,3.075576196501193e-09,3.593177766318771e-06,8.755740101897288e-10,5.6422330901387395e-08,1.2394924537556897e-08,2.749877457775257e-07,1.2361605819730316e-05,1.106734783861501e-08,2.788573042736324e-08,9.25087547504635e-07,4.368219180126567e-07,8.223382819611958e-10,4.268224396822582e-09,1.6750959976170114e-08,0.999866636684419,3.4260838357052867e-06,0.00011210571076744976,1.3190203234255256e-09,,,,,,
2020-08-31,1.3153442230698786,0.0005817629086700398,29,2.6990467122444542e-09,4.236548567034037e-11,2.4607324838267524e-13,3.086867021868508e-09,1.188001533450118e-08,2.1306080549858112e-11,8.996628991370761e-10,6.813136284916178e-12,4.9777474668896007e-11,9.7928918095154e-11,1.531579307412157e-09,2.7696226394437687e-10,1.5644521252052813e-06,1.2016881083609822e-10,1.6920343500192942e-08,1.461701357689233e-09,1.507883546529679e-07,1.7082842405366526e-06,1.4001230493474027e-09,5.098739852621807e-09,,1.3266946961908584e-07,6.651112413406874e-11,9.98847378404515e-10,2.848470312055086e-09,0.999592604047658,8.029817178530666e-07,0.0004027713771796217,,2.119011766054363e-07,3.990601838890248e-09,,,,
2020-09-30,1.3255436287649864,1.8502919578529837e-08,29,2.6990211727099807e-09,4.236420700771883e-11,2.4606046579520547e-13,3.086842296269441e-09,1.1879809594992952e-08,2.130548055647725e-11,8.99657551398136e-10,6.812950890161851e-12,4.977699365680009e-11,9.792686070844626e-11,1.53155899934893e-09,2.769545019872539e-10,1.5644195592300346e-06,1.2016721143073857e-10,1.691999287368764e-08,1.461668473026255e-09,1.5078180570158102e-07,1.7082481490084367e-06,1.4001023589814873e-09,5.0986540752556e-09,,1.326673103905273e-07,6.650963384071917e-11,9.988276171615383e-10,2.8484374377463654e-09,0.9995926132991176,8.029435631413605e-07,0.0004027622470153434,,2.1189634349119365e-07,3.990499610153833e-09,,,,
2020-10-30,1.3877808932222466,4.066334576227656e-10,29,2.699011786853588e-09,4.236416162838444e-11,2.4606322829867573e-13,3.086825278403307e-09,1.1879848326482115e-08,2.1305565741272795e-11,8.996586225456923e-10,6.812962493956522e-12,4.977679243527792e-11,9.792726650003346e-11,1.5315548458726531e-09,2.7695697187929985e-10,1.5644183551087692e-06,1.2016649057896663e-10,1.69200631408047e-08,1.4616704229841645e-09,1.5078353513390063e-07,1.708252661757096e-06,1.4001100152357167e-09,5.098656973824089e-09,,1.3266839428848527e-07,6.650960393090668e-11,9.988295706745107e-10,2.8484623494869923e-09,0.9995926130970366,8.029629674951196e-07,0.0004027624233370094,,2.118964132106377e-07,3.990542029198876e-09,,,,
